B_digital_(T)	B_analog_(T)	T_VTI_(K)	T_sample_(K)	I_s	V_nv	R_nv
4.70000E-4	-1.15161E-3	2.99610E+2	2.99233E+2	9.99985E-5	1.40336E-5	1.40338E-1
1.04499E-3	-1.15071E-3	2.99612E+2	2.99235E+2	9.99985E-5	1.40025E-5	1.40027E-1
1.16970E-3	-1.14928E-3	2.99616E+2	2.99238E+2	9.99984E-5	1.39946E-5	1.39948E-1
9.50000E-4	-1.14859E-3	2.99619E+2	2.99241E+2	9.99985E-5	1.40047E-5	1.40049E-1
9.50000E-4	-1.14790E-3	2.99622E+2	2.99246E+2	9.99985E-5	1.39900E-5	1.39902E-1
6.86699E-4	-1.14698E-3	2.99623E+2	2.99248E+2	9.99985E-5	1.39287E-5	1.39289E-1
4.70000E-4	-1.14628E-3	2.99626E+2	2.99250E+2	9.99985E-5	1.38649E-5	1.38651E-1
1.10553E-3	-1.14536E-3	2.99628E+2	2.99253E+2	9.99985E-5	1.39136E-5	1.39138E-1
8.06305E-4	-1.14443E-3	2.99630E+2	2.99257E+2	9.99984E-5	1.39529E-5	1.39531E-1
4.70000E-4	-1.14419E-3	2.99631E+2	2.99260E+2	9.99985E-5	1.39847E-5	1.39849E-1
4.70000E-4	-1.14394E-3	2.99631E+2	2.99262E+2	9.99984E-5	1.39579E-5	1.39581E-1
4.70000E-4	-1.14324E-3	2.99631E+2	2.99265E+2	9.99984E-5	1.38991E-5	1.38993E-1
9.84190E-4	-1.14304E-3	2.99629E+2	2.99269E+2	9.99984E-5	1.39552E-5	1.39554E-1
1.16864E-3	-1.14302E-3	2.99627E+2	2.99271E+2	9.99984E-5	1.39541E-5	1.39543E-1
9.50000E-4	-1.14208E-3	2.99626E+2	2.99272E+2	9.99986E-5	1.39126E-5	1.39128E-1
9.50000E-4	-1.14116E-3	2.99625E+2	2.99275E+2	9.99986E-5	1.39510E-5	1.39512E-1
6.28232E-4	-1.14094E-3	2.99622E+2	2.99277E+2	9.99985E-5	1.39798E-5	1.39800E-1
7.57451E-4	-1.14094E-3	2.99619E+2	2.99277E+2	9.99984E-5	1.40267E-5	1.40269E-1
9.50000E-4	-1.14094E-3	2.99617E+2	2.99278E+2	9.99985E-5	1.40052E-5	1.40055E-1
6.36892E-4	-1.13994E-3	2.99614E+2	2.99281E+2	9.99985E-5	1.39955E-5	1.39957E-1
4.70000E-4	-1.13884E-3	2.99609E+2	2.99283E+2	9.99985E-5	1.40733E-5	1.40735E-1
2.19246E-4	-1.13862E-3	2.99605E+2	2.99282E+2	9.99985E-5	1.40564E-5	1.40566E-1
2.90842E-4	-1.13862E-3	2.99601E+2	2.99283E+2	9.99986E-5	1.39378E-5	1.39380E-1
7.75071E-4	-1.13862E-3	2.99596E+2	2.99284E+2	9.99986E-5	1.38684E-5	1.38686E-1
9.50000E-4	-1.13839E-3	2.99590E+2	2.99283E+2	9.99985E-5	1.38981E-5	1.38983E-1
7.02847E-4	-1.13816E-3	2.99586E+2	2.99283E+2	9.99984E-5	1.39436E-5	1.39438E-1
7.04206E-4	-1.13816E-3	2.99583E+2	2.99284E+2	9.99985E-5	1.39458E-5	1.39461E-1
9.50000E-4	-1.13793E-3	2.99578E+2	2.99283E+2	9.99986E-5	1.39994E-5	1.39996E-1
9.50000E-4	-1.13746E-3	2.99572E+2	2.99282E+2	9.99985E-5	1.39815E-5	1.39817E-1
7.09174E-4	-1.13748E-3	2.99572E+2	2.99282E+2	9.99984E-5	1.38944E-5	1.38946E-1
4.70000E-4	-1.13746E-3	2.99568E+2	2.99282E+2	9.99984E-5	1.39487E-5	1.39490E-1
1.11645E-3	-1.13700E-3	2.99562E+2	2.99283E+2	9.99984E-5	1.40228E-5	1.40231E-1
1.12719E-3	-1.13700E-3	2.99560E+2	2.99283E+2	9.99985E-5	1.39782E-5	1.39784E-1
9.50000E-4	-1.13700E-3	2.99558E+2	2.99282E+2	9.99986E-5	1.39156E-5	1.39158E-1
9.50000E-4	-1.13653E-3	2.99553E+2	2.99281E+2	9.99985E-5	1.38832E-5	1.38834E-1
6.71856E-4	-1.13654E-3	2.99551E+2	2.99280E+2	9.99984E-5	1.39349E-5	1.39352E-1
1.07900E-3	-1.13653E-3	2.99549E+2	2.99279E+2	9.99985E-5	1.39608E-5	1.39610E-1
8.42617E-4	-1.13583E-3	2.99548E+2	2.99279E+2	9.99987E-5	1.39619E-5	1.39621E-1
4.70000E-4	-1.13583E-3	2.99547E+2	2.99280E+2	9.99987E-5	1.39983E-5	1.39985E-1
4.70000E-4	-1.13560E-3	2.99543E+2	2.99279E+2	9.99985E-5	1.40426E-5	1.40428E-1
7.70377E-4	-1.13491E-3	2.99541E+2	2.99278E+2	9.99985E-5	1.40172E-5	1.40174E-1
9.50000E-4	-1.13467E-3	2.99541E+2	2.99279E+2	9.99985E-5	1.39476E-5	1.39478E-1
9.50000E-4	-1.13492E-3	2.99540E+2	2.99279E+2	9.99985E-5	1.39351E-5	1.39354E-1
7.07397E-4	-1.13538E-3	2.99538E+2	2.99278E+2	9.99985E-5	1.39694E-5	1.39696E-1
2.35050E-4	-1.13562E-3	2.99535E+2	2.99280E+2	9.99985E-5	1.39558E-5	1.39560E-1
2.68496E-4	-1.13559E-3	2.99535E+2	2.99279E+2	9.99984E-5	1.39131E-5	1.39133E-1
4.70000E-4	-1.13513E-3	2.99534E+2	2.99278E+2	9.99984E-5	1.39562E-5	1.39564E-1
7.52722E-4	-1.13491E-3	2.99531E+2	2.99278E+2	9.99984E-5	1.39384E-5	1.39386E-1
3.74079E-4	-1.13467E-3	2.99528E+2	2.99279E+2	9.99984E-5	1.39152E-5	1.39154E-1
5.79841E-4	-1.13469E-3	2.99522E+2	2.99278E+2	9.99984E-5	1.39242E-5	1.39244E-1
6.62436E-4	-1.13468E-3	2.99518E+2	2.99276E+2	9.99984E-5	1.39010E-5	1.39012E-1
7.56738E-4	-1.13492E-3	2.99517E+2	2.99275E+2	9.99984E-5	1.39064E-5	1.39067E-1
9.50000E-4	-1.13492E-3	2.99514E+2	2.99276E+2	9.99985E-5	1.39438E-5	1.39440E-1
6.79963E-4	-1.13469E-3	2.99512E+2	2.99274E+2	9.99985E-5	1.39393E-5	1.39395E-1
7.21836E-4	-1.13442E-3	2.99510E+2	2.99274E+2	9.99985E-5	1.38910E-5	1.38912E-1
6.61593E-4	-1.13447E-3	2.99507E+2	2.99273E+2	9.99984E-5	1.39561E-5	1.39563E-1
7.85771E-4	-1.13441E-3	2.99504E+2	2.99272E+2	9.99984E-5	1.40546E-5	1.40549E-1
9.50000E-4	-1.13472E-3	2.99501E+2	2.99270E+2	9.99985E-5	1.39935E-5	1.39937E-1
6.85006E-4	-1.13513E-3	2.99499E+2	2.99269E+2	9.99985E-5	1.39485E-5	1.39487E-1
2.13255E-4	-1.13491E-3	2.99496E+2	2.99268E+2	9.99985E-5	1.40328E-5	1.40330E-1
4.81638E-4	-1.13445E-3	2.99493E+2	2.99266E+2	9.99985E-5	1.40078E-5	1.40080E-1
6.91828E-4	-1.13423E-3	2.99492E+2	2.99265E+2	9.99985E-5	1.39720E-5	1.39722E-1
4.70000E-4	-1.13421E-3	2.99491E+2	2.99265E+2	9.99985E-5	1.39396E-5	1.39398E-1
4.70000E-4	-1.13422E-3	2.99490E+2	2.99266E+2	9.99985E-5	1.39484E-5	1.39486E-1
1.03124E-3	-1.13445E-3	2.99488E+2	2.99264E+2	9.99985E-5	1.39886E-5	1.39888E-1
8.63310E-4	-1.13445E-3	2.99484E+2	2.99261E+2	9.99984E-5	1.39776E-5	1.39778E-1
4.70000E-4	-1.13490E-3	2.99484E+2	2.99261E+2	9.99985E-5	1.40252E-5	1.40254E-1
1.47824E-4	-1.13466E-3	2.99484E+2	2.99261E+2	9.99985E-5	1.39893E-5	1.39895E-1
3.05825E-4	-1.13398E-3	2.99484E+2	2.99261E+2	9.99984E-5	1.39267E-5	1.39270E-1
7.61852E-4	-1.13445E-3	2.99485E+2	2.99260E+2	9.99984E-5	1.39245E-5	1.39247E-1
9.50000E-4	-1.13468E-3	2.99486E+2	2.99260E+2	9.99984E-5	1.39866E-5	1.39868E-1
6.96049E-4	-1.13467E-3	2.99485E+2	2.99260E+2	9.99984E-5	1.40117E-5	1.40119E-1
7.05227E-4	-1.13445E-3	2.99484E+2	2.99259E+2	9.99985E-5	1.39643E-5	1.39645E-1
9.50000E-4	-1.13374E-3	2.99484E+2	2.99259E+2	9.99985E-5	1.39490E-5	1.39492E-1
9.50000E-4	-1.13375E-3	2.99483E+2	2.99258E+2	9.99985E-5	1.39179E-5	1.39182E-1
6.78741E-4	-1.13398E-3	2.99485E+2	2.99257E+2	9.99984E-5	1.39231E-5	1.39233E-1
