B_digital_(T)	B_analog_(T)	T_VTI_(K)	T_sample_(K)	I_s	V_nv	R_nv
1.00100E+0	9.81518E-1	2.99296E+2	2.99034E+2	9.99984E-5	1.39213E-5	1.39215E-1
1.00048E+0	9.81516E-1	2.99303E+2	2.99036E+2	9.99984E-5	1.39464E-5	1.39466E-1
9.92713E-1	9.81267E-1	2.99315E+2	2.99040E+2	9.99984E-5	1.38399E-5	1.38401E-1
9.80409E-1	9.80177E-1	2.99323E+2	2.99044E+2	9.99985E-5	1.38849E-5	1.38851E-1
9.67703E-1	9.76590E-1	2.99331E+2	2.99048E+2	9.99985E-5	1.41297E-5	1.41299E-1
9.55095E-1	9.67357E-1	2.99341E+2	2.99052E+2	9.99985E-5	1.39972E-5	1.39974E-1
9.42057E-1	9.54235E-1	2.99351E+2	2.99057E+2	9.99985E-5	1.38623E-5	1.38625E-1
9.29246E-1	9.40249E-1	2.99358E+2	2.99062E+2	9.99984E-5	1.40100E-5	1.40102E-1
9.16399E-1	9.26477E-1	2.99366E+2	2.99067E+2	9.99984E-5	1.39996E-5	1.39998E-1
9.03737E-1	9.13275E-1	2.99376E+2	2.99071E+2	9.99985E-5	1.38947E-5	1.38949E-1
8.91362E-1	9.00408E-1	2.99385E+2	2.99077E+2	9.99984E-5	1.40816E-5	1.40819E-1
8.78663E-1	8.87717E-1	2.99393E+2	2.99082E+2	9.99984E-5	1.41814E-5	1.41816E-1
8.66179E-1	8.75217E-1	2.99398E+2	2.99085E+2	9.99985E-5	1.41363E-5	1.41365E-1
8.53493E-1	8.62626E-1	2.99403E+2	2.99090E+2	9.99985E-5	1.41143E-5	1.41145E-1
8.40752E-1	8.50224E-1	2.99408E+2	2.99096E+2	9.99985E-5	1.40458E-5	1.40460E-1
8.28402E-1	8.37765E-1	2.99412E+2	2.99100E+2	9.99985E-5	1.41583E-5	1.41585E-1
8.15630E-1	8.25332E-1	2.99415E+2	2.99104E+2	9.99985E-5	1.41362E-5	1.41364E-1
8.02939E-1	8.12993E-1	2.99417E+2	2.99108E+2	9.99984E-5	1.41474E-5	1.41476E-1
7.90027E-1	8.00608E-1	2.99417E+2	2.99112E+2	9.99985E-5	1.41788E-5	1.41790E-1
7.77135E-1	7.88364E-1	2.99416E+2	2.99116E+2	9.99985E-5	1.39958E-5	1.39960E-1
7.65102E-1	7.76015E-1	2.99415E+2	2.99119E+2	9.99984E-5	1.39980E-5	1.39982E-1
7.52490E-1	7.63644E-1	2.99415E+2	2.99121E+2	9.99983E-5	1.42074E-5	1.42076E-1
7.39755E-1	7.51438E-1	2.99412E+2	2.99123E+2	9.99984E-5	1.42091E-5	1.42094E-1
7.26811E-1	7.39156E-1	2.99409E+2	2.99126E+2	9.99985E-5	1.40741E-5	1.40743E-1
7.14455E-1	7.26890E-1	2.99407E+2	2.99128E+2	9.99984E-5	1.40715E-5	1.40717E-1
7.01599E-1	7.14689E-1	2.99399E+2	2.99129E+2	9.99985E-5	1.39949E-5	1.39951E-1
6.89169E-1	7.02416E-1	2.99392E+2	2.99130E+2	9.99986E-5	1.39350E-5	1.39352E-1
6.76747E-1	6.90177E-1	2.99387E+2	2.99130E+2	9.99986E-5	1.40885E-5	1.40887E-1
6.63957E-1	6.78073E-1	2.99380E+2	2.99131E+2	9.99985E-5	1.41939E-5	1.41941E-1
6.51340E-1	6.65944E-1	2.99374E+2	2.99131E+2	9.99985E-5	1.41782E-5	1.41784E-1
6.38161E-1	6.53753E-1	2.99370E+2	2.99131E+2	9.99985E-5	1.40875E-5	1.40877E-1
6.25439E-1	6.41510E-1	2.99363E+2	2.99133E+2	9.99984E-5	1.39685E-5	1.39687E-1
6.12733E-1	6.29384E-1	2.99356E+2	2.99131E+2	9.99985E-5	1.40985E-5	1.40987E-1
5.99987E-1	6.17252E-1	2.99348E+2	2.99129E+2	9.99985E-5	1.41588E-5	1.41591E-1
5.87916E-1	6.04978E-1	2.99340E+2	2.99128E+2	9.99985E-5	1.41588E-5	1.41590E-1
5.75346E-1	5.92950E-1	2.99333E+2	2.99128E+2	9.99985E-5	1.41573E-5	1.41575E-1
5.62716E-1	5.80903E-1	2.99328E+2	2.99128E+2	9.99984E-5	1.41663E-5	1.41665E-1
5.49751E-1	5.68624E-1	2.99321E+2	2.99125E+2	9.99984E-5	1.41542E-5	1.41544E-1
5.37204E-1	5.56462E-1	2.99313E+2	2.99122E+2	9.99985E-5	1.40864E-5	1.40866E-1
5.24770E-1	5.44373E-1	2.99310E+2	2.99121E+2	9.99984E-5	1.41050E-5	1.41052E-1
5.11902E-1	5.32202E-1	2.99303E+2	2.99121E+2	9.99986E-5	1.41655E-5	1.41657E-1
4.99216E-1	5.20139E-1	2.99295E+2	2.99118E+2	9.99985E-5	1.41427E-5	1.41429E-1
4.85675E-1	5.08010E-1	2.99289E+2	2.99115E+2	9.99985E-5	1.41595E-5	1.41597E-1
4.73466E-1	4.95883E-1	2.99285E+2	2.99113E+2	9.99985E-5	1.41101E-5	1.41104E-1
4.61248E-1	4.83769E-1	2.99280E+2	2.99111E+2	9.99984E-5	1.40784E-5	1.40787E-1
4.48052E-1	4.71579E-1	2.99273E+2	2.99110E+2	9.99984E-5	1.41536E-5	1.41538E-1
4.35604E-1	4.59339E-1	2.99269E+2	2.99108E+2	9.99984E-5	1.41752E-5	1.41755E-1
4.23279E-1	4.47191E-1	2.99265E+2	2.99106E+2	9.99985E-5	1.41372E-5	1.41374E-1
4.10179E-1	4.35028E-1	2.99260E+2	2.99104E+2	9.99986E-5	1.41853E-5	1.41855E-1
3.97451E-1	4.22888E-1	2.99255E+2	2.99101E+2	9.99985E-5	1.41665E-5	1.41667E-1
3.85291E-1	4.10787E-1	2.99251E+2	2.99099E+2	9.99984E-5	1.41432E-5	1.41434E-1
3.73496E-1	3.98535E-1	2.99246E+2	2.99097E+2	9.99984E-5	1.41303E-5	1.41305E-1
3.60222E-1	3.86261E-1	2.99241E+2	2.99095E+2	9.99984E-5	1.41591E-5	1.41593E-1
3.47021E-1	3.73692E-1	2.99238E+2	2.99092E+2	9.99984E-5	1.41401E-5	1.41403E-1
3.34406E-1	3.61171E-1	2.99235E+2	2.99090E+2	9.99984E-5	1.41761E-5	1.41763E-1
3.21620E-1	3.48877E-1	2.99233E+2	2.99089E+2	9.99985E-5	1.42403E-5	1.42405E-1
3.08928E-1	3.36558E-1	2.99232E+2	2.99088E+2	9.99985E-5	1.41585E-5	1.41587E-1
2.96491E-1	3.24345E-1	2.99233E+2	2.99087E+2	9.99984E-5	1.41359E-5	1.41361E-1
2.84128E-1	3.12110E-1	2.99230E+2	2.99084E+2	9.99984E-5	1.42154E-5	1.42157E-1
2.71282E-1	2.99702E-1	2.99227E+2	2.99082E+2	9.99984E-5	1.42271E-5	1.42273E-1
2.58781E-1	2.87407E-1	2.99226E+2	2.99080E+2	9.99984E-5	1.42235E-5	1.42238E-1
2.46023E-1	2.75090E-1	2.99226E+2	2.99078E+2	9.99984E-5	1.41575E-5	1.41577E-1
2.33356E-1	2.62620E-1	2.99226E+2	2.99076E+2	9.99986E-5	1.41313E-5	1.41315E-1
2.20873E-1	2.50097E-1	2.99227E+2	2.99074E+2	9.99985E-5	1.41962E-5	1.41964E-1
2.07820E-1	2.37608E-1	2.99227E+2	2.99073E+2	9.99984E-5	1.42563E-5	1.42565E-1
1.95168E-1	2.25217E-1	2.99226E+2	2.99073E+2	9.99984E-5	1.42308E-5	1.42310E-1
1.82755E-1	2.12789E-1	2.99226E+2	2.99072E+2	9.99985E-5	1.41926E-5	1.41929E-1
1.70045E-1	2.00232E-1	2.99227E+2	2.99071E+2	9.99985E-5	1.42403E-5	1.42405E-1
1.57282E-1	1.87627E-1	2.99229E+2	2.99070E+2	9.99985E-5	1.42415E-5	1.42417E-1
1.44505E-1	1.75194E-1	2.99232E+2	2.99068E+2	9.99985E-5	1.42822E-5	1.42824E-1
1.32220E-1	1.62724E-1	2.99231E+2	2.99068E+2	9.99985E-5	1.42874E-5	1.42876E-1
1.19942E-1	1.50171E-1	2.99232E+2	2.99067E+2	9.99984E-5	1.42485E-5	1.42487E-1
1.07111E-1	1.37604E-1	2.99232E+2	2.99066E+2	9.99985E-5	1.42698E-5	1.42700E-1
9.43062E-2	1.24914E-1	2.99233E+2	2.99065E+2	9.99984E-5	1.42827E-5	1.42829E-1
8.16026E-2	1.12384E-1	2.99235E+2	2.99064E+2	9.99984E-5	1.42571E-5	1.42573E-1
6.89583E-2	9.98882E-2	2.99236E+2	2.99063E+2	9.99985E-5	1.42538E-5	1.42540E-1
5.59561E-2	8.72343E-2	2.99239E+2	2.99063E+2	9.99985E-5	1.42385E-5	1.42388E-1
4.32320E-2	7.46280E-2	2.99241E+2	2.99064E+2	9.99985E-5	1.42514E-5	1.42516E-1
3.08959E-2	6.21207E-2	2.99243E+2	2.99065E+2	9.99984E-5	1.43016E-5	1.43018E-1
1.83468E-2	4.96087E-2	2.99247E+2	2.99065E+2	9.99985E-5	1.43097E-5	1.43100E-1
