B_digital_(T)	B_analog_(T)	I_s	V_nv	R_nv
2.00152E+0	1.95677E+0	9.99986E-5	-3.69604E-5	-3.69609E-1
2.00185E+0	1.95673E+0	9.99987E-5	-3.67592E-5	-3.67597E-1
2.00200E+0	1.95674E+0	9.99986E-5	-3.67621E-5	-3.67626E-1
2.00200E+0	1.95674E+0	9.99985E-5	-3.68408E-5	-3.68413E-1
2.00200E+0	1.95674E+0	9.99986E-5	-3.65261E-5	-3.65266E-1
2.00200E+0	1.95674E+0	9.99986E-5	-3.63188E-5	-3.63193E-1
2.00177E+0	1.95674E+0	9.99986E-5	-3.65754E-5	-3.65759E-1
2.00152E+0	1.95677E+0	9.99985E-5	-3.66476E-5	-3.66482E-1
2.00126E+0	1.95677E+0	9.99986E-5	-3.65250E-5	-3.65255E-1
2.00133E+0	1.95677E+0	9.99985E-5	-3.67616E-5	-3.67621E-1
2.00184E+0	1.95677E+0	9.99985E-5	-3.67635E-5	-3.67640E-1
2.00234E+0	1.95677E+0	9.99986E-5	-3.67482E-5	-3.67487E-1
2.00215E+0	1.95677E+0	9.99986E-5	-3.67166E-5	-3.67171E-1
2.00200E+0	1.95677E+0	9.99987E-5	-3.64545E-5	-3.64550E-1
2.00200E+0	1.95679E+0	9.99985E-5	-3.66078E-5	-3.66083E-1
2.00170E+0	1.95679E+0	9.99986E-5	-3.64311E-5	-3.64316E-1
2.00182E+0	1.95679E+0	9.99986E-5	-3.62188E-5	-3.62193E-1
2.00200E+0	1.95682E+0	9.99986E-5	-3.65329E-5	-3.65334E-1
2.00146E+0	1.95682E+0	9.99985E-5	-3.66941E-5	-3.66946E-1
2.00105E+0	1.95682E+0	9.99985E-5	-3.67785E-5	-3.67791E-1
2.00135E+0	1.95682E+0	9.99984E-5	-3.70476E-5	-3.70482E-1
2.00123E+0	1.95682E+0	9.99985E-5	-3.69009E-5	-3.69014E-1
2.00155E+0	1.95682E+0	9.99985E-5	-3.64428E-5	-3.64434E-1
