B_digital_(T)	B_analog_(T)	I_s	V_nv	R_nv
4.70000E-4	-2.49465E-3	9.99987E-5	-7.79558E-5	-7.79568E-1
1.00860E-3	-2.48484E-3	9.99987E-5	-7.79399E-5	-7.79410E-1
9.52706E-3	-2.18372E-3	9.99987E-5	-7.79405E-5	-7.79415E-1
2.24929E-2	-1.01314E-3	9.99988E-5	-7.79700E-5	-7.79710E-1
3.50680E-2	3.30143E-3	9.99986E-5	-7.79735E-5	-7.79746E-1
4.77051E-2	1.32516E-2	9.99986E-5	-7.79751E-5	-7.79762E-1
6.06132E-2	2.68037E-2	9.99987E-5	-7.79600E-5	-7.79611E-1
7.33497E-2	4.05587E-2	9.99986E-5	-7.79404E-5	-7.79414E-1
8.57170E-2	5.40595E-2	9.99986E-5	-7.79628E-5	-7.79639E-1
9.76794E-2	6.73946E-2	9.99986E-5	-7.79666E-5	-7.79676E-1
1.11105E-1	8.03934E-2	9.99987E-5	-7.79463E-5	-7.79473E-1
1.23801E-1	9.32211E-2	9.99986E-5	-7.79472E-5	-7.79483E-1
1.35884E-1	1.05987E-1	9.99986E-5	-7.79487E-5	-7.79498E-1
1.48846E-1	1.18739E-1	9.99987E-5	-7.79621E-5	-7.79631E-1
1.61930E-1	1.31356E-1	9.99988E-5	-7.79629E-5	-7.79638E-1
1.74342E-1	1.43995E-1	9.99987E-5	-7.79580E-5	-7.79590E-1
1.86609E-1	1.56754E-1	9.99986E-5	-7.79824E-5	-7.79835E-1
1.99049E-1	1.69269E-1	9.99986E-5	-7.80049E-5	-7.80060E-1
2.12009E-1	1.81722E-1	9.99986E-5	-7.80247E-5	-7.80258E-1
2.25159E-1	1.94395E-1	9.99986E-5	-7.80015E-5	-7.80026E-1
2.38007E-1	2.06934E-1	9.99986E-5	-7.80019E-5	-7.80029E-1
2.50435E-1	2.19324E-1	9.99987E-5	-7.80217E-5	-7.80227E-1
2.62737E-1	2.31833E-1	9.99987E-5	-7.79917E-5	-7.79927E-1
2.75079E-1	2.44404E-1	9.99987E-5	-7.79899E-5	-7.79910E-1
2.88227E-1	2.56816E-1	9.99987E-5	-7.79939E-5	-7.79949E-1
3.01101E-1	2.69242E-1	9.99987E-5	-7.79796E-5	-7.79806E-1
3.13635E-1	2.81682E-1	9.99987E-5	-7.79994E-5	-7.80005E-1
3.26343E-1	2.93984E-1	9.99987E-5	-7.80320E-5	-7.80330E-1
3.38996E-1	3.06190E-1	9.99986E-5	-7.80186E-5	-7.80197E-1
3.51811E-1	3.18156E-1	9.99986E-5	-7.80084E-5	-7.80094E-1
3.64463E-1	3.30207E-1	9.99987E-5	-7.80633E-5	-7.80643E-1
3.76932E-1	3.42328E-1	9.99986E-5	-7.80647E-5	-7.80658E-1
3.89653E-1	3.54283E-1	9.99984E-5	-7.80313E-5	-7.80325E-1
4.02361E-1	3.66211E-1	9.99985E-5	-7.79806E-5	-7.79818E-1
4.14743E-1	3.78294E-1	9.99986E-5	-7.79802E-5	-7.79813E-1
4.27485E-1	3.90511E-1	9.99986E-5	-7.80294E-5	-7.80305E-1
4.39433E-1	4.02624E-1	9.99986E-5	-7.80658E-5	-7.80668E-1
4.52541E-1	4.14445E-1	9.99987E-5	-7.80873E-5	-7.80883E-1
4.65792E-1	4.27157E-1	9.99987E-5	-7.80560E-5	-7.80571E-1
4.77568E-1	4.39970E-1	9.99986E-5	-7.80443E-5	-7.80454E-1
4.90398E-1	4.52162E-1	9.99988E-5	-7.79804E-5	-7.79813E-1
5.03111E-1	4.64293E-1	9.99987E-5	-7.80241E-5	-7.80251E-1
5.15781E-1	4.76438E-1	9.99987E-5	-7.81054E-5	-7.81065E-1
5.28549E-1	4.88620E-1	9.99987E-5	-7.81015E-5	-7.81026E-1
5.41246E-1	5.00731E-1	9.99987E-5	-7.80708E-5	-7.80718E-1
5.53992E-1	5.12861E-1	9.99986E-5	-7.80425E-5	-7.80436E-1
5.66553E-1	5.25079E-1	9.99986E-5	-7.80652E-5	-7.80663E-1
5.79401E-1	5.37302E-1	9.99987E-5	-7.80112E-5	-7.80122E-1
5.91794E-1	5.49366E-1	9.99987E-5	-7.80007E-5	-7.80017E-1
6.04792E-1	5.61427E-1	9.99987E-5	-7.80030E-5	-7.80040E-1
6.17436E-1	5.73545E-1	9.99986E-5	-7.80097E-5	-7.80107E-1
6.29963E-1	5.85765E-1	9.99986E-5	-7.80323E-5	-7.80334E-1
6.42629E-1	5.97894E-1	9.99987E-5	-7.80693E-5	-7.80703E-1
6.54894E-1	6.10065E-1	9.99986E-5	-7.81180E-5	-7.81191E-1
6.67438E-1	6.22278E-1	9.99986E-5	-7.80537E-5	-7.80548E-1
6.80598E-1	6.34413E-1	9.99987E-5	-7.80885E-5	-7.80896E-1
6.92825E-1	6.46567E-1	9.99987E-5	-7.82341E-5	-7.82351E-1
7.05634E-1	6.58718E-1	9.99986E-5	-7.82154E-5	-7.82166E-1
7.18466E-1	6.70793E-1	9.99986E-5	-7.81469E-5	-7.81481E-1
7.31524E-1	6.82905E-1	9.99986E-5	-7.81198E-5	-7.81209E-1
7.44333E-1	6.95205E-1	9.99986E-5	-7.80907E-5	-7.80919E-1
7.56883E-1	7.07444E-1	9.99985E-5	-7.81021E-5	-7.81033E-1
7.69150E-1	7.19686E-1	9.99986E-5	-7.81570E-5	-7.81582E-1
7.81486E-1	7.32025E-1	9.99987E-5	-7.81348E-5	-7.81358E-1
7.94544E-1	7.44198E-1	9.99987E-5	-7.81155E-5	-7.81165E-1
8.07046E-1	7.56410E-1	9.99986E-5	-7.80512E-5	-7.80523E-1
8.19808E-1	7.68842E-1	9.99985E-5	-7.80211E-5	-7.80223E-1
8.33057E-1	7.81179E-1	9.99985E-5	-7.82124E-5	-7.82135E-1
8.44931E-1	7.93544E-1	9.99987E-5	-7.81409E-5	-7.81419E-1
8.58140E-1	8.06003E-1	9.99986E-5	-7.80494E-5	-7.80505E-1
8.70678E-1	8.18472E-1	9.99985E-5	-7.81001E-5	-7.81013E-1
8.83673E-1	8.30873E-1	9.99984E-5	-7.80469E-5	-7.80481E-1
8.96248E-1	8.43293E-1	9.99984E-5	-7.80262E-5	-7.80274E-1
9.08508E-1	8.55775E-1	9.99986E-5	-7.81336E-5	-7.81347E-1
9.21434E-1	8.68377E-1	9.99986E-5	-7.81390E-5	-7.81401E-1
9.33708E-1	8.81044E-1	9.99985E-5	-7.80736E-5	-7.80748E-1
9.46443E-1	8.93605E-1	9.99985E-5	-7.81894E-5	-7.81905E-1
9.59050E-1	9.06213E-1	9.99985E-5	-7.83167E-5	-7.83178E-1
9.71821E-1	9.19021E-1	9.99987E-5	-7.82618E-5	-7.82628E-1
9.84705E-1	9.31758E-1	9.99987E-5	-7.81457E-5	-7.81467E-1
9.96672E-1	9.44452E-1	9.99986E-5	-7.82697E-5	-7.82709E-1
1.00935E+0	9.57410E-1	9.99985E-5	-7.83484E-5	-7.83495E-1
1.02224E+0	9.70352E-1	9.99985E-5	-7.82508E-5	-7.82519E-1
1.03465E+0	9.83146E-1	9.99985E-5	-7.83192E-5	-7.83204E-1
1.04764E+0	9.95961E-1	9.99986E-5	-7.83883E-5	-7.83894E-1
1.06088E+0	1.00872E+0	9.99986E-5	-7.82848E-5	-7.82858E-1
1.07357E+0	1.02134E+0	9.99987E-5	-7.82202E-5	-7.82213E-1
1.08584E+0	1.03388E+0	9.99987E-5	-7.82159E-5	-7.82169E-1
1.09837E+0	1.04629E+0	9.99986E-5	-7.81970E-5	-7.81981E-1
1.11118E+0	1.05855E+0	9.99985E-5	-7.82044E-5	-7.82055E-1
1.12402E+0	1.07081E+0	9.99985E-5	-7.82369E-5	-7.82381E-1
1.13677E+0	1.08313E+0	9.99987E-5	-7.82232E-5	-7.82243E-1
1.14914E+0	1.09545E+0	9.99986E-5	-7.81842E-5	-7.81852E-1
1.16197E+0	1.10788E+0	9.99985E-5	-7.81059E-5	-7.81071E-1
1.17447E+0	1.12027E+0	9.99986E-5	-7.81095E-5	-7.81105E-1
1.18732E+0	1.13256E+0	9.99987E-5	-7.81611E-5	-7.81621E-1
1.20008E+0	1.14480E+0	9.99986E-5	-7.81370E-5	-7.81381E-1
1.21211E+0	1.15710E+0	9.99985E-5	-7.82997E-5	-7.83009E-1
1.22540E+0	1.16949E+0	9.99985E-5	-7.84488E-5	-7.84499E-1
1.23753E+0	1.18180E+0	9.99986E-5	-7.82862E-5	-7.82872E-1
1.25049E+0	1.19417E+0	9.99987E-5	-7.80857E-5	-7.80867E-1
1.26347E+0	1.20659E+0	9.99986E-5	-7.81772E-5	-7.81783E-1
1.27609E+0	1.21890E+0	9.99986E-5	-7.81490E-5	-7.81501E-1
1.28875E+0	1.23121E+0	9.99986E-5	-7.81003E-5	-7.81014E-1
1.30056E+0	1.24355E+0	9.99985E-5	-7.82735E-5	-7.82747E-1
1.31385E+0	1.25585E+0	9.99985E-5	-7.84102E-5	-7.84114E-1
1.32680E+0	1.26824E+0	9.99985E-5	-7.82915E-5	-7.82926E-1
1.33953E+0	1.28061E+0	9.99986E-5	-7.80439E-5	-7.80450E-1
1.35180E+0	1.29289E+0	9.99986E-5	-7.80575E-5	-7.80585E-1
1.36384E+0	1.30528E+0	9.99987E-5	-7.79803E-5	-7.79813E-1
1.37733E+0	1.31777E+0	9.99986E-5	-7.80645E-5	-7.80656E-1
1.38981E+0	1.33020E+0	9.99985E-5	-7.82854E-5	-7.82865E-1
1.40258E+0	1.34266E+0	9.99985E-5	-7.84057E-5	-7.84069E-1
1.41538E+0	1.35503E+0	9.99986E-5	-7.83405E-5	-7.83416E-1
1.42777E+0	1.36734E+0	9.99986E-5	-7.81667E-5	-7.81678E-1
1.44055E+0	1.37967E+0	9.99986E-5	-7.80686E-5	-7.80698E-1
1.45273E+0	1.39212E+0	9.99985E-5	-7.81754E-5	-7.81766E-1
1.46530E+0	1.40455E+0	9.99985E-5	-7.83195E-5	-7.83207E-1
1.47801E+0	1.41695E+0	9.99985E-5	-7.83148E-5	-7.83160E-1
1.49136E+0	1.42938E+0	9.99985E-5	-7.82738E-5	-7.82749E-1
1.50399E+0	1.44165E+0	9.99986E-5	-7.80921E-5	-7.80932E-1
1.51563E+0	1.45410E+0	9.99987E-5	-7.81616E-5	-7.81627E-1
1.52900E+0	1.46657E+0	9.99986E-5	-7.83119E-5	-7.83131E-1
1.54182E+0	1.47881E+0	9.99986E-5	-7.84290E-5	-7.84301E-1
1.55494E+0	1.49112E+0	9.99986E-5	-7.84341E-5	-7.84352E-1
1.56774E+0	1.50348E+0	9.99985E-5	-7.81736E-5	-7.81748E-1
1.57926E+0	1.51598E+0	9.99986E-5	-7.82692E-5	-7.82703E-1
1.59212E+0	1.52846E+0	9.99986E-5	-7.83299E-5	-7.83310E-1
1.60471E+0	1.54085E+0	9.99987E-5	-7.83152E-5	-7.83162E-1
1.61776E+0	1.55331E+0	9.99987E-5	-7.82053E-5	-7.82063E-1
1.63016E+0	1.56569E+0	9.99987E-5	-7.80812E-5	-7.80822E-1
1.64326E+0	1.57805E+0	9.99987E-5	-7.82917E-5	-7.82927E-1
1.65603E+0	1.59033E+0	9.99986E-5	-7.83361E-5	-7.83372E-1
1.66823E+0	1.60273E+0	9.99986E-5	-7.80769E-5	-7.80780E-1
1.68122E+0	1.61523E+0	9.99986E-5	-7.82029E-5	-7.82041E-1
1.69410E+0	1.62766E+0	9.99986E-5	-7.83630E-5	-7.83641E-1
1.70660E+0	1.64003E+0	9.99986E-5	-7.85504E-5	-7.85516E-1
1.71925E+0	1.65239E+0	9.99986E-5	-7.85969E-5	-7.85980E-1
1.73211E+0	1.66474E+0	9.99987E-5	-7.82785E-5	-7.82796E-1
1.74467E+0	1.67723E+0	9.99986E-5	-7.83227E-5	-7.83238E-1
1.75714E+0	1.68973E+0	9.99986E-5	-7.85662E-5	-7.85673E-1
1.77004E+0	1.70212E+0	9.99985E-5	-7.83178E-5	-7.83189E-1
1.78250E+0	1.71447E+0	9.99985E-5	-7.81501E-5	-7.81512E-1
1.79507E+0	1.72699E+0	9.99986E-5	-7.82176E-5	-7.82187E-1
1.80747E+0	1.73950E+0	9.99987E-5	-7.84443E-5	-7.84454E-1
1.81982E+0	1.75185E+0	9.99986E-5	-7.88229E-5	-7.88240E-1
1.83316E+0	1.76438E+0	9.99985E-5	-7.86072E-5	-7.86083E-1
1.84577E+0	1.77680E+0	9.99986E-5	-7.82263E-5	-7.82274E-1
1.85813E+0	1.78930E+0	9.99985E-5	-7.82372E-5	-7.82384E-1
1.87118E+0	1.80177E+0	9.99986E-5	-7.83397E-5	-7.83408E-1
1.88349E+0	1.81409E+0	9.99987E-5	-7.85519E-5	-7.85529E-1
1.89651E+0	1.82652E+0	9.99987E-5	-7.84681E-5	-7.84691E-1
1.90873E+0	1.83898E+0	9.99987E-5	-7.83188E-5	-7.83198E-1
1.92154E+0	1.85153E+0	9.99986E-5	-7.82162E-5	-7.82173E-1
1.93402E+0	1.86399E+0	9.99986E-5	-7.82201E-5	-7.82212E-1
1.94581E+0	1.87644E+0	9.99985E-5	-7.84146E-5	-7.84158E-1
