T_VTI_(K)	T_sample_(K)	I_s	V_nv	R_nv
2.98863E+2	2.99127E+2	9.99986E-5	3.22233E-2	3.22237E+2
2.98864E+2	2.99121E+2	9.99986E-5	3.22231E-2	3.22236E+2
2.98863E+2	2.99112E+2	9.99987E-5	3.22226E-2	3.22230E+2
2.98861E+2	2.99103E+2	9.99986E-5	3.22223E-2	3.22227E+2
2.98858E+2	2.99094E+2	9.99986E-5	3.22218E-2	3.22223E+2
2.98851E+2	2.99085E+2	9.99986E-5	3.22213E-2	3.22217E+2
2.98842E+2	2.99078E+2	9.99986E-5	3.22209E-2	3.22213E+2
2.98826E+2	2.99070E+2	9.99985E-5	3.22191E-2	3.22196E+2
2.98803E+2	2.99058E+2	9.99986E-5	3.22172E-2	3.22177E+2
2.98778E+2	2.99046E+2	9.99986E-5	3.22158E-2	3.22163E+2
2.98749E+2	2.99032E+2	9.99986E-5	3.22141E-2	3.22145E+2
2.98713E+2	2.99017E+2	9.99987E-5	3.22112E-2	3.22117E+2
2.98671E+2	2.99003E+2	9.99986E-5	3.22083E-2	3.22088E+2
2.98623E+2	2.98987E+2	9.99987E-5	3.22061E-2	3.22066E+2
2.98569E+2	2.98968E+2	9.99987E-5	3.22037E-2	3.22041E+2
2.98511E+2	2.98947E+2	9.99986E-5	3.22004E-2	3.22009E+2
2.98449E+2	2.98923E+2	9.99986E-5	3.21964E-2	3.21968E+2
2.98379E+2	2.98898E+2	9.99986E-5	3.21922E-2	3.21927E+2
2.98306E+2	2.98871E+2	9.99986E-5	3.21880E-2	3.21884E+2
2.98227E+2	2.98842E+2	9.99986E-5	3.21838E-2	3.21843E+2
2.98141E+2	2.98811E+2	9.99986E-5	3.21795E-2	3.21800E+2
2.98052E+2	2.98778E+2	9.99986E-5	3.21742E-2	3.21746E+2
2.97956E+2	2.98743E+2	9.99986E-5	3.21687E-2	3.21691E+2
2.97855E+2	2.98705E+2	9.99986E-5	3.21641E-2	3.21646E+2
2.97752E+2	2.98665E+2	9.99985E-5	3.21585E-2	3.21590E+2
2.97645E+2	2.98623E+2	9.99985E-5	3.21518E-2	3.21523E+2
2.97529E+2	2.98578E+2	9.99986E-5	3.21461E-2	3.21465E+2
2.97409E+2	2.98531E+2	9.99986E-5	3.21406E-2	3.21411E+2
2.97289E+2	2.98481E+2	9.99986E-5	3.21351E-2	3.21355E+2
2.97162E+2	2.98430E+2	9.99985E-5	3.21293E-2	3.21298E+2
