B_digital_(T)	B_analog_(T)	I_s	V_nv	R_nv
4.70000E-4	-5.90335E-3	9.99986E-5	-4.56461E-5	-4.56467E-1
4.70000E-4	-5.89993E-3	9.99986E-5	-4.56510E-5	-4.56517E-1
1.54583E-2	-5.47738E-3	9.99986E-5	-4.56732E-5	-4.56738E-1
3.13142E-2	-2.39909E-3	9.99986E-5	-4.56575E-5	-4.56582E-1
5.06843E-2	8.34373E-3	9.99986E-5	-4.56324E-5	-4.56331E-1
7.02136E-2	2.68097E-2	9.99985E-5	-4.56148E-5	-4.56155E-1
8.99755E-2	4.68409E-2	9.99986E-5	-4.55264E-5	-4.55271E-1
1.09349E-1	6.71371E-2	9.99986E-5	-4.53513E-5	-4.53519E-1
1.28959E-1	8.78722E-2	9.99986E-5	-4.50858E-5	-4.50864E-1
1.48517E-1	1.08389E-1	9.99986E-5	-4.49782E-5	-4.49788E-1
1.68267E-1	1.27762E-1	9.99987E-5	-4.50030E-5	-4.50036E-1
1.88013E-1	1.46932E-1	9.99986E-5	-4.50358E-5	-4.50364E-1
2.07338E-1	1.67079E-1	9.99986E-5	-4.50791E-5	-4.50798E-1
2.26919E-1	1.87173E-1	9.99985E-5	-4.50026E-5	-4.50033E-1
2.46452E-1	2.06983E-1	9.99984E-5	-4.48967E-5	-4.48974E-1
2.65587E-1	2.26891E-1	9.99986E-5	-4.48357E-5	-4.48364E-1
2.85339E-1	2.46640E-1	9.99986E-5	-4.48853E-5	-4.48859E-1
3.04675E-1	2.66240E-1	9.99985E-5	-4.49119E-5	-4.49126E-1
3.23684E-1	2.85759E-1	9.99985E-5	-4.46993E-5	-4.47000E-1
3.43365E-1	3.05139E-1	9.99985E-5	-4.43869E-5	-4.43876E-1
3.63024E-1	3.24283E-1	9.99986E-5	-4.41309E-5	-4.41315E-1
3.82837E-1	3.43264E-1	9.99985E-5	-4.43222E-5	-4.43228E-1
4.02276E-1	3.62212E-1	9.99985E-5	-4.43485E-5	-4.43492E-1
4.21861E-1	3.81307E-1	9.99986E-5	-4.43434E-5	-4.43441E-1
4.41303E-1	4.00544E-1	9.99986E-5	-4.46341E-5	-4.46347E-1
4.60868E-1	4.19817E-1	9.99985E-5	-4.44539E-5	-4.44546E-1
4.80874E-1	4.39443E-1	9.99985E-5	-4.45214E-5	-4.45221E-1
5.00106E-1	4.58982E-1	9.99986E-5	-4.45457E-5	-4.45464E-1
5.19184E-1	4.78556E-1	9.99986E-5	-4.42780E-5	-4.42786E-1
5.38681E-1	4.98052E-1	9.99986E-5	-4.42118E-5	-4.42124E-1
5.58481E-1	5.17399E-1	9.99986E-5	-4.43363E-5	-4.43369E-1
5.78291E-1	5.37011E-1	9.99986E-5	-4.43860E-5	-4.43866E-1
5.97401E-1	5.56649E-1	9.99986E-5	-4.43635E-5	-4.43641E-1
6.16476E-1	5.75899E-1	9.99986E-5	-4.39728E-5	-4.39735E-1
6.36168E-1	5.95245E-1	9.99986E-5	-4.37105E-5	-4.37112E-1
6.55850E-1	6.14645E-1	9.99986E-5	-4.38202E-5	-4.38208E-1
6.75059E-1	6.33940E-1	9.99985E-5	-4.39976E-5	-4.39982E-1
6.94960E-1	6.53518E-1	9.99985E-5	-4.37541E-5	-4.37547E-1
7.14892E-1	6.72880E-1	9.99985E-5	-4.34766E-5	-4.34773E-1
7.34429E-1	6.92152E-1	9.99984E-5	-4.35209E-5	-4.35216E-1
7.53699E-1	7.11583E-1	9.99985E-5	-4.37641E-5	-4.37648E-1
7.73219E-1	7.31037E-1	9.99985E-5	-4.41090E-5	-4.41097E-1
7.93017E-1	7.50530E-1	9.99986E-5	-4.38584E-5	-4.38591E-1
