B_digital_(T)	B_analog_(T)	T_sample_(K)	I_s	V_nv	R_nv
9.50000E-4	-3.28980E-3	2.98748E+2	1.00004E-4	3.73440E-4	3.73424E+0
4.70000E-4	-3.28908E-3	2.98751E+2	1.00004E-4	3.73431E-4	3.73415E+0
9.17309E-3	-3.09229E-3	2.98758E+2	1.00004E-4	3.73396E-4	3.73381E+0
1.99404E-2	-2.23557E-3	2.98768E+2	1.00004E-4	3.73397E-4	3.73381E+0
3.24091E-2	8.74907E-4	2.98777E+2	1.00005E-4	3.73379E-4	3.73362E+0
4.57117E-2	9.46703E-3	2.98783E+2	1.00004E-4	3.73293E-4	3.73277E+0
5.80551E-2	2.28256E-2	2.98790E+2	1.00004E-4	3.73316E-4	3.73301E+0
7.06557E-2	3.69494E-2	2.98797E+2	1.00004E-4	3.73360E-4	3.73345E+0
8.33081E-2	5.06020E-2	2.98805E+2	1.00004E-4	3.73314E-4	3.73298E+0
9.59952E-2	6.39405E-2	2.98813E+2	1.00004E-4	3.73397E-4	3.73380E+0
1.08308E-1	7.69683E-2	2.98820E+2	1.00004E-4	3.73440E-4	3.73424E+0
1.21126E-1	8.96972E-2	2.98828E+2	1.00004E-4	3.73332E-4	3.73316E+0
1.34157E-1	1.02390E-1	2.98836E+2	1.00004E-4	3.73383E-4	3.73368E+0
1.46409E-1	1.15030E-1	2.98844E+2	1.00004E-4	3.73394E-4	3.73378E+0
1.59212E-1	1.27189E-1	2.98852E+2	1.00004E-4	3.73391E-4	3.73376E+0
1.71804E-1	1.39347E-1	2.98858E+2	1.00004E-4	3.73473E-4	3.73457E+0
1.84716E-1	1.51961E-1	2.98865E+2	1.00004E-4	3.73462E-4	3.73446E+0
1.97299E-1	1.64581E-1	2.98874E+2	1.00004E-4	3.73457E-4	3.73441E+0
2.10033E-1	1.77147E-1	2.98882E+2	1.00004E-4	3.73424E-4	3.73408E+0
2.23087E-1	1.89659E-1	2.98888E+2	1.00004E-4	3.73406E-4	3.73391E+0
2.35619E-1	2.02013E-1	2.98892E+2	1.00004E-4	3.73474E-4	3.73458E+0
2.47850E-1	2.14421E-1	2.98897E+2	1.00004E-4	3.73417E-4	3.73402E+0
2.60498E-1	2.26896E-1	2.98903E+2	1.00004E-4	3.73320E-4	3.73304E+0
2.73449E-1	2.39272E-1	2.98908E+2	1.00004E-4	3.73291E-4	3.73275E+0
2.85881E-1	2.51624E-1	2.98913E+2	1.00004E-4	3.73347E-4	3.73331E+0
2.98456E-1	2.63864E-1	2.98919E+2	1.00004E-4	3.73418E-4	3.73402E+0
3.11406E-1	2.76168E-1	2.98924E+2	1.00004E-4	3.73410E-4	3.73393E+0
3.24095E-1	2.88495E-1	2.98928E+2	1.00004E-4	3.73380E-4	3.73364E+0
3.36768E-1	3.00713E-1	2.98931E+2	1.00004E-4	3.73353E-4	3.73337E+0
3.49426E-1	3.12876E-1	2.98934E+2	1.00004E-4	3.73298E-4	3.73282E+0
3.61420E-1	3.24896E-1	2.98936E+2	1.00004E-4	3.73266E-4	3.73250E+0
3.74288E-1	3.36786E-1	2.98939E+2	1.00004E-4	3.73274E-4	3.73258E+0
3.87026E-1	3.48745E-1	2.98942E+2	1.00004E-4	3.73186E-4	3.73170E+0
3.99771E-1	3.60748E-1	2.98944E+2	1.00004E-4	3.73209E-4	3.73193E+0
4.12605E-1	3.72562E-1	2.98946E+2	1.00004E-4	3.73363E-4	3.73347E+0
4.25022E-1	3.84480E-1	2.98948E+2	1.00004E-4	3.73403E-4	3.73387E+0
4.37937E-1	3.96513E-1	2.98952E+2	1.00004E-4	3.73384E-4	3.73368E+0
4.50776E-1	4.08395E-1	2.98957E+2	1.00004E-4	3.73426E-4	3.73411E+0
4.63378E-1	4.20734E-1	2.98958E+2	1.00004E-4	3.73490E-4	3.73474E+0
4.75734E-1	4.33271E-1	2.98958E+2	1.00004E-4	3.73464E-4	3.73448E+0
4.88393E-1	4.45505E-1	2.98959E+2	1.00004E-4	3.73367E-4	3.73350E+0
5.01155E-1	4.57573E-1	2.98962E+2	1.00004E-4	3.73334E-4	3.73318E+0
5.14099E-1	4.69604E-1	2.98962E+2	1.00004E-4	3.73410E-4	3.73394E+0
5.26663E-1	4.81736E-1	2.98963E+2	1.00004E-4	3.73393E-4	3.73377E+0
5.39182E-1	4.93814E-1	2.98964E+2	1.00004E-4	3.73352E-4	3.73337E+0
5.51874E-1	5.05913E-1	2.98965E+2	1.00004E-4	3.73337E-4	3.73322E+0
5.64759E-1	5.18011E-1	2.98966E+2	1.00004E-4	3.73358E-4	3.73342E+0
5.77261E-1	5.29983E-1	2.98967E+2	1.00004E-4	3.73334E-4	3.73318E+0
5.89598E-1	5.42055E-1	2.98967E+2	1.00004E-4	3.73251E-4	3.73235E+0
6.02414E-1	5.54157E-1	2.98967E+2	1.00004E-4	3.73369E-4	3.73353E+0
6.15241E-1	5.66203E-1	2.98968E+2	1.00004E-4	3.73425E-4	3.73409E+0
6.27443E-1	5.78263E-1	2.98968E+2	1.00004E-4	3.73332E-4	3.73316E+0
6.40544E-1	5.90304E-1	2.98969E+2	1.00004E-4	3.73286E-4	3.73271E+0
6.53311E-1	6.02365E-1	2.98969E+2	1.00004E-4	3.73316E-4	3.73300E+0
6.65803E-1	6.14463E-1	2.98966E+2	1.00004E-4	3.73316E-4	3.73301E+0
6.78434E-1	6.26534E-1	2.98965E+2	1.00004E-4	3.73416E-4	3.73401E+0
6.90688E-1	6.38516E-1	2.98965E+2	1.00004E-4	3.73429E-4	3.73413E+0
