T_sample_(K)	I_s	V_nv	R_nv
2.99315E+2	1.00004E-4	3.61106E-2	3.61091E+2
2.99313E+2	1.00004E-4	3.61107E-2	3.61091E+2
2.99315E+2	1.00004E-4	3.61107E-2	3.61091E+2
2.99315E+2	1.00004E-4	3.61107E-2	3.61092E+2
2.99313E+2	1.00004E-4	3.61108E-2	3.61092E+2
2.99313E+2	1.00004E-4	3.61106E-2	3.61090E+2
2.99313E+2	1.00004E-4	3.61101E-2	3.61085E+2
2.99312E+2	1.00004E-4	3.61095E-2	3.61080E+2
2.99310E+2	1.00004E-4	3.61091E-2	3.61075E+2
2.99307E+2	1.00004E-4	3.61087E-2	3.61071E+2
2.99304E+2	1.00005E-4	3.61081E-2	3.61065E+2
2.99302E+2	1.00004E-4	3.61072E-2	3.61056E+2
2.99299E+2	1.00004E-4	3.61062E-2	3.61047E+2
2.99292E+2	1.00004E-4	3.61052E-2	3.61036E+2
2.99286E+2	1.00004E-4	3.61039E-2	3.61023E+2
2.99280E+2	1.00004E-4	3.61024E-2	3.61008E+2
2.99271E+2	1.00004E-4	3.61009E-2	3.60993E+2
2.99262E+2	1.00004E-4	3.60992E-2	3.60977E+2
2.99250E+2	1.00004E-4	3.60975E-2	3.60959E+2
2.99236E+2	1.00004E-4	3.60956E-2	3.60940E+2
2.99223E+2	1.00004E-4	3.60935E-2	3.60919E+2
2.99207E+2	1.00004E-4	3.60912E-2	3.60896E+2
2.99190E+2	1.00004E-4	3.60887E-2	3.60871E+2
2.99170E+2	1.00004E-4	3.60862E-2	3.60846E+2
2.99149E+2	1.00004E-4	3.60837E-2	3.60821E+2
2.99126E+2	1.00004E-4	3.60810E-2	3.60794E+2
2.99101E+2	1.00004E-4	3.60779E-2	3.60763E+2
2.99076E+2	1.00004E-4	3.60748E-2	3.60732E+2
2.99049E+2	1.00004E-4	3.60715E-2	3.60699E+2
2.99020E+2	1.00004E-4	3.60681E-2	3.60666E+2
2.98990E+2	1.00004E-4	3.60646E-2	3.60631E+2
2.98957E+2	1.00004E-4	3.60608E-2	3.60593E+2
2.98922E+2	1.00004E-4	3.60571E-2	3.60556E+2
2.98886E+2	1.00004E-4	3.60534E-2	3.60518E+2
