B_digital_(T)	B_analog_(T)	T_sample_(K)	I_s	V_nv	R_nv
4.70000E-4	-1.51811E-3	2.98617E+2	1.00004E-4	-1.44221E-6	-1.44214E-2
7.35906E-4	-1.51374E-3	2.98623E+2	1.00004E-4	-1.41930E-6	-1.41924E-2
8.49374E-3	-1.28979E-3	2.98632E+2	1.00004E-4	-1.40861E-6	-1.40855E-2
2.13049E-2	-3.47682E-4	2.98640E+2	1.00004E-4	-1.41263E-6	-1.41256E-2
3.38116E-2	3.19117E-3	2.98649E+2	1.00004E-4	-1.38866E-6	-1.38860E-2
4.64617E-2	1.21891E-2	2.98658E+2	1.00004E-4	-1.37932E-6	-1.37926E-2
5.91142E-2	2.58217E-2	2.98666E+2	1.00004E-4	-1.36753E-6	-1.36747E-2
7.19910E-2	3.99554E-2	2.98674E+2	1.00004E-4	-1.38843E-6	-1.38836E-2
8.47443E-2	5.34699E-2	2.98684E+2	1.00004E-4	-1.40959E-6	-1.40953E-2
9.72781E-2	6.67859E-2	2.98694E+2	1.00004E-4	-1.39955E-6	-1.39949E-2
1.09603E-1	7.99363E-2	2.98702E+2	1.00004E-4	-1.41263E-6	-1.41257E-2
1.22716E-1	9.26919E-2	2.98711E+2	1.00004E-4	-1.43509E-6	-1.43503E-2
1.35331E-1	1.05337E-1	2.98722E+2	1.00004E-4	-1.41014E-6	-1.41008E-2
1.47872E-1	1.17883E-1	2.98730E+2	1.00004E-4	-1.37809E-6	-1.37803E-2
1.60338E-1	1.30034E-1	2.98739E+2	1.00004E-4	-1.40446E-6	-1.40440E-2
1.72644E-1	1.42393E-1	2.98748E+2	1.00004E-4	-1.41738E-6	-1.41732E-2
1.85590E-1	1.54981E-1	2.98754E+2	1.00004E-4	-1.42215E-6	-1.42209E-2
1.98724E-1	1.67437E-1	2.98761E+2	1.00004E-4	-1.43474E-6	-1.43467E-2
2.11369E-1	1.80043E-1	2.98768E+2	1.00004E-4	-1.45520E-6	-1.45513E-2
2.24120E-1	1.92626E-1	2.98774E+2	1.00004E-4	-1.47729E-6	-1.47723E-2
2.36791E-1	2.05094E-1	2.98780E+2	1.00004E-4	-1.45168E-6	-1.45162E-2
2.49322E-1	2.17523E-1	2.98785E+2	1.00004E-4	-1.40717E-6	-1.40711E-2
2.61465E-1	2.29829E-1	2.98791E+2	1.00004E-4	-1.45172E-6	-1.45165E-2
2.73754E-1	2.42242E-1	2.98796E+2	1.00004E-4	-1.47490E-6	-1.47484E-2
