B_digital_(T)	B_analog_(T)	T_sample_(K)	I_s	V_nv	R_nv
9.50000E-4	-2.73449E-3	2.98593E+2	1.00004E-4	2.99724E-5	2.99711E-1
1.61817E-3	-2.71708E-3	2.98599E+2	1.00004E-4	2.99893E-5	2.99879E-1
1.06192E-2	-2.40749E-3	2.98608E+2	1.00005E-4	3.00229E-5	3.00215E-1
2.33031E-2	-1.24235E-3	2.98616E+2	1.00005E-4	3.00166E-5	3.00153E-1
3.60204E-2	3.08350E-3	2.98624E+2	1.00004E-4	2.99813E-5	2.99800E-1
4.84594E-2	1.32892E-2	2.98634E+2	1.00004E-4	3.00024E-5	3.00011E-1
6.12385E-2	2.70528E-2	2.98642E+2	1.00004E-4	3.00234E-5	3.00220E-1
7.43784E-2	4.09538E-2	2.98650E+2	1.00004E-4	2.99766E-5	2.99753E-1
8.69356E-2	5.45437E-2	2.98659E+2	1.00004E-4	2.99501E-5	2.99487E-1
9.95258E-2	6.78559E-2	2.98668E+2	1.00004E-4	2.99749E-5	2.99735E-1
1.11780E-1	8.08146E-2	2.98677E+2	1.00004E-4	3.00001E-5	2.99988E-1
1.24353E-1	9.35085E-2	2.98686E+2	1.00005E-4	2.99957E-5	2.99943E-1
1.37180E-1	1.06106E-1	2.98696E+2	1.00005E-4	2.99774E-5	2.99760E-1
1.49657E-1	1.18748E-1	2.98705E+2	1.00004E-4	2.99613E-5	2.99600E-1
1.62568E-1	1.31004E-1	2.98712E+2	1.00004E-4	2.99768E-5	2.99754E-1
1.75427E-1	1.43253E-1	2.98719E+2	1.00004E-4	2.99855E-5	2.99842E-1
1.87872E-1	1.55845E-1	2.98726E+2	1.00005E-4	2.99633E-5	2.99619E-1
2.00522E-1	1.68450E-1	2.98733E+2	1.00004E-4	2.99681E-5	2.99668E-1
2.13261E-1	1.80950E-1	2.98741E+2	1.00004E-4	2.99465E-5	2.99452E-1
2.26097E-1	1.93305E-1	2.98748E+2	1.00004E-4	2.99503E-5	2.99489E-1
2.38887E-1	2.05790E-1	2.98755E+2	1.00004E-4	2.99434E-5	2.99421E-1
2.51201E-1	2.18167E-1	2.98762E+2	1.00004E-4	2.99188E-5	2.99175E-1
2.63647E-1	2.30584E-1	2.98767E+2	1.00004E-4	2.99112E-5	2.99098E-1
2.76463E-1	2.43083E-1	2.98771E+2	1.00004E-4	2.99287E-5	2.99274E-1
2.88886E-1	2.55393E-1	2.98776E+2	1.00004E-4	2.99606E-5	2.99592E-1
3.02063E-1	2.67689E-1	2.98780E+2	1.00004E-4	2.99669E-5	2.99656E-1
3.14510E-1	2.79952E-1	2.98785E+2	1.00004E-4	2.99364E-5	2.99351E-1
3.27099E-1	2.92171E-1	2.98789E+2	1.00004E-4	2.98419E-5	2.98406E-1
3.40161E-1	3.04419E-1	2.98794E+2	1.00004E-4	2.98216E-5	2.98202E-1
3.52798E-1	3.16508E-1	2.98797E+2	1.00005E-4	2.98668E-5	2.98654E-1
3.65370E-1	3.28394E-1	2.98801E+2	1.00004E-4	2.98416E-5	2.98403E-1
3.77951E-1	3.40394E-1	2.98805E+2	1.00004E-4	2.98264E-5	2.98251E-1
3.90288E-1	3.52383E-1	2.98808E+2	1.00005E-4	2.99273E-5	2.99259E-1
4.02814E-1	3.64326E-1	2.98810E+2	1.00005E-4	2.99904E-5	2.99890E-1
4.15533E-1	3.76250E-1	2.98811E+2	1.00004E-4	2.99691E-5	2.99677E-1
4.28332E-1	3.88096E-1	2.98814E+2	1.00004E-4	2.98753E-5	2.98739E-1
4.41308E-1	4.00020E-1	2.98817E+2	1.00004E-4	2.99021E-5	2.99007E-1
4.54091E-1	4.12109E-1	2.98821E+2	1.00004E-4	2.99433E-5	2.99420E-1
4.66214E-1	4.24579E-1	2.98822E+2	1.00005E-4	2.98258E-5	2.98244E-1
4.78995E-1	4.36987E-1	2.98823E+2	1.00005E-4	2.98228E-5	2.98215E-1
4.91769E-1	4.49161E-1	2.98823E+2	1.00004E-4	2.99042E-5	2.99029E-1
5.04639E-1	4.61221E-1	2.98825E+2	1.00004E-4	2.99713E-5	2.99700E-1
5.17576E-1	4.73320E-1	2.98828E+2	1.00004E-4	2.98095E-5	2.98082E-1
5.29964E-1	4.85439E-1	2.98828E+2	1.00004E-4	2.97235E-5	2.97222E-1
5.42776E-1	4.97486E-1	2.98829E+2	1.00004E-4	2.98648E-5	2.98635E-1
5.55148E-1	5.09655E-1	2.98830E+2	1.00004E-4	2.99560E-5	2.99547E-1
5.67603E-1	5.21792E-1	2.98830E+2	1.00004E-4	2.99119E-5	2.99106E-1
5.80440E-1	5.33833E-1	2.98830E+2	1.00004E-4	2.98991E-5	2.98978E-1
5.92831E-1	5.45823E-1	2.98831E+2	1.00004E-4	2.98637E-5	2.98624E-1
6.05353E-1	5.57857E-1	2.98830E+2	1.00004E-4	2.98476E-5	2.98463E-1
6.18329E-1	5.69946E-1	2.98831E+2	1.00004E-4	2.99133E-5	2.99120E-1
6.30541E-1	5.81959E-1	2.98830E+2	1.00004E-4	2.99497E-5	2.99483E-1
6.43357E-1	5.93924E-1	2.98830E+2	1.00005E-4	3.00099E-5	3.00085E-1
6.56288E-1	6.06035E-1	2.98830E+2	1.00005E-4	2.98884E-5	2.98871E-1
6.68983E-1	6.18195E-1	2.98829E+2	1.00004E-4	2.96539E-5	2.96526E-1
6.81426E-1	6.30249E-1	2.98827E+2	1.00004E-4	2.97322E-5	2.97309E-1
6.93994E-1	6.42309E-1	2.98826E+2	1.00004E-4	2.98044E-5	2.98031E-1
7.06724E-1	6.54349E-1	2.98827E+2	1.00005E-4	2.97136E-5	2.97123E-1
7.19122E-1	6.66422E-1	2.98826E+2	1.00004E-4	2.98045E-5	2.98032E-1
7.31927E-1	6.78598E-1	2.98824E+2	1.00004E-4	2.97901E-5	2.97887E-1
7.44989E-1	6.90819E-1	2.98823E+2	1.00004E-4	2.98094E-5	2.98081E-1
7.57585E-1	7.02962E-1	2.98820E+2	1.00004E-4	2.99521E-5	2.99508E-1
7.70476E-1	7.15093E-1	2.98817E+2	1.00004E-4	2.98063E-5	2.98050E-1
7.83083E-1	7.27266E-1	2.98815E+2	1.00005E-4	2.97695E-5	2.97682E-1
7.95321E-1	7.39502E-1	2.98813E+2	1.00004E-4	2.98271E-5	2.98257E-1
8.08131E-1	7.51704E-1	2.98813E+2	1.00004E-4	2.97676E-5	2.97663E-1
8.21307E-1	7.63881E-1	2.98811E+2	1.00004E-4	2.98410E-5	2.98397E-1
8.33811E-1	7.76138E-1	2.98808E+2	1.00004E-4	2.98265E-5	2.98252E-1
8.45603E-1	7.88405E-1	2.98805E+2	1.00005E-4	2.95870E-5	2.95856E-1
8.58791E-1	8.00731E-1	2.98802E+2	1.00005E-4	2.95917E-5	2.95904E-1
8.71395E-1	8.13184E-1	2.98799E+2	1.00004E-4	2.96791E-5	2.96778E-1
8.84432E-1	8.25525E-1	2.98796E+2	1.00004E-4	2.96223E-5	2.96210E-1
8.96930E-1	8.37889E-1	2.98794E+2	1.00004E-4	2.98311E-5	2.98298E-1
9.09664E-1	8.50431E-1	2.98792E+2	1.00004E-4	2.99852E-5	2.99839E-1
9.22767E-1	8.62868E-1	2.98787E+2	1.00004E-4	2.98434E-5	2.98421E-1
9.35044E-1	8.75274E-1	2.98785E+2	1.00004E-4	2.98380E-5	2.98366E-1
9.47982E-1	8.87761E-1	2.98782E+2	1.00004E-4	2.96686E-5	2.96672E-1
9.60702E-1	9.00447E-1	2.98779E+2	1.00004E-4	2.94774E-5	2.94760E-1
9.72965E-1	9.13212E-1	2.98777E+2	1.00004E-4	2.97285E-5	2.97272E-1
9.85213E-1	9.25886E-1	2.98775E+2	1.00004E-4	2.98100E-5	2.98087E-1
9.96655E-1	9.38323E-1	2.98773E+2	1.00004E-4	2.98334E-5	2.98321E-1
1.00032E+0	9.49063E-1	2.98770E+2	1.00004E-4	2.98490E-5	2.98477E-1
1.00052E+0	9.56658E-1	2.98768E+2	1.00004E-4	2.97296E-5	2.97283E-1
1.00052E+0	9.61482E-1	2.98766E+2	1.00005E-4	2.99158E-5	2.99144E-1
1.00052E+0	9.64085E-1	2.98764E+2	1.00004E-4	2.98370E-5	2.98357E-1
1.00052E+0	9.65344E-1	2.98764E+2	1.00004E-4	2.97142E-5	2.97129E-1
9.98610E-1	9.65956E-1	2.98762E+2	1.00005E-4	2.97347E-5	2.97333E-1
9.89397E-1	9.66119E-1	2.98760E+2	1.00005E-4	2.96957E-5	2.96943E-1
9.76375E-1	9.65623E-1	2.98759E+2	1.00004E-4	2.96561E-5	2.96548E-1
9.63740E-1	9.63816E-1	2.98756E+2	1.00004E-4	2.98042E-5	2.98029E-1
9.51473E-1	9.57979E-1	2.98755E+2	1.00005E-4	2.99227E-5	2.99213E-1
9.38917E-1	9.46653E-1	2.98755E+2	1.00004E-4	2.99912E-5	2.99899E-1
9.26278E-1	9.32989E-1	2.98755E+2	1.00004E-4	3.00247E-5	3.00234E-1
9.13330E-1	9.19156E-1	2.98755E+2	1.00004E-4	2.98296E-5	2.98283E-1
9.00670E-1	9.05763E-1	2.98756E+2	1.00004E-4	2.96605E-5	2.96592E-1
8.88185E-1	8.92871E-1	2.98758E+2	1.00004E-4	2.98368E-5	2.98355E-1
8.75491E-1	8.80249E-1	2.98758E+2	1.00005E-4	2.97811E-5	2.97798E-1
8.62891E-1	8.67672E-1	2.98760E+2	1.00005E-4	2.97504E-5	2.97491E-1
8.50182E-1	8.55213E-1	2.98763E+2	1.00004E-4	2.99310E-5	2.99297E-1
8.37619E-1	8.42811E-1	2.98765E+2	1.00004E-4	3.00011E-5	2.99998E-1
8.24471E-1	8.30418E-1	2.98768E+2	1.00004E-4	2.99821E-5	2.99808E-1
8.12070E-1	8.18110E-1	2.98771E+2	1.00004E-4	2.98595E-5	2.98581E-1
7.99549E-1	8.05681E-1	2.98774E+2	1.00004E-4	2.97901E-5	2.97887E-1
7.86658E-1	7.93385E-1	2.98779E+2	1.00005E-4	2.96993E-5	2.96979E-1
7.74617E-1	7.81180E-1	2.98782E+2	1.00005E-4	2.97132E-5	2.97119E-1
7.61807E-1	7.68859E-1	2.98785E+2	1.00005E-4	2.96688E-5	2.96675E-1
7.48898E-1	7.56585E-1	2.98789E+2	1.00004E-4	2.97312E-5	2.97299E-1
7.36625E-1	7.44330E-1	2.98795E+2	1.00004E-4	2.99356E-5	2.99343E-1
7.23938E-1	7.32066E-1	2.98801E+2	1.00004E-4	2.99682E-5	2.99669E-1
7.11431E-1	7.19948E-1	2.98807E+2	1.00005E-4	2.97529E-5	2.97515E-1
6.98457E-1	7.07817E-1	2.98814E+2	1.00005E-4	2.97267E-5	2.97253E-1
6.85581E-1	6.95524E-1	2.98820E+2	1.00004E-4	2.99262E-5	2.99249E-1
6.73111E-1	6.83308E-1	2.98826E+2	1.00004E-4	3.00007E-5	2.99994E-1
6.60469E-1	6.71239E-1	2.98833E+2	1.00004E-4	2.99082E-5	2.99069E-1
6.48030E-1	6.59162E-1	2.98841E+2	1.00004E-4	2.97390E-5	2.97377E-1
6.35289E-1	6.47074E-1	2.98850E+2	1.00004E-4	2.97937E-5	2.97924E-1
6.22441E-1	6.34850E-1	2.98859E+2	1.00004E-4	2.97656E-5	2.97643E-1
6.09751E-1	6.22626E-1	2.98866E+2	1.00004E-4	2.98513E-5	2.98499E-1
5.96904E-1	6.10542E-1	2.98874E+2	1.00004E-4	3.00117E-5	3.00104E-1
5.83951E-1	5.98479E-1	2.98883E+2	1.00004E-4	2.98936E-5	2.98923E-1
5.71198E-1	5.86475E-1	2.98893E+2	1.00004E-4	2.97940E-5	2.97927E-1
5.59037E-1	5.74345E-1	2.98904E+2	1.00004E-4	2.99226E-5	2.99213E-1
5.46234E-1	5.62219E-1	2.98912E+2	1.00004E-4	3.00292E-5	3.00279E-1
5.33593E-1	5.50113E-1	2.98922E+2	1.00004E-4	2.99873E-5	2.99860E-1
5.21738E-1	5.38068E-1	2.98932E+2	1.00004E-4	2.98799E-5	2.98787E-1
5.08903E-1	5.25962E-1	2.98941E+2	1.00004E-4	2.97867E-5	2.97855E-1
4.95998E-1	5.13835E-1	2.98951E+2	1.00004E-4	2.98694E-5	2.98681E-1
4.83246E-1	5.01797E-1	2.98959E+2	1.00005E-4	2.99332E-5	2.99318E-1
4.70285E-1	4.89756E-1	2.98966E+2	1.00004E-4	2.99045E-5	2.99032E-1
4.57163E-1	4.77592E-1	2.98976E+2	1.00004E-4	2.98716E-5	2.98703E-1
4.44716E-1	4.65448E-1	2.98985E+2	1.00004E-4	2.98748E-5	2.98735E-1
4.32419E-1	4.53429E-1	2.98994E+2	1.00004E-4	2.99262E-5	2.99249E-1
4.19710E-1	4.41333E-1	2.99001E+2	1.00004E-4	2.99908E-5	2.99895E-1
4.07699E-1	4.29072E-1	2.99009E+2	1.00004E-4	2.98904E-5	2.98891E-1
3.94815E-1	4.16793E-1	2.99017E+2	1.00004E-4	2.98050E-5	2.98037E-1
3.81571E-1	4.04760E-1	2.99025E+2	1.00004E-4	2.98785E-5	2.98772E-1
3.69202E-1	3.92632E-1	2.99032E+2	1.00004E-4	2.99862E-5	2.99849E-1
3.56496E-1	3.80349E-1	2.99040E+2	1.00004E-4	2.99476E-5	2.99463E-1
3.43721E-1	3.67767E-1	2.99049E+2	1.00004E-4	2.98830E-5	2.98817E-1
3.30960E-1	3.55358E-1	2.99056E+2	1.00004E-4	2.99201E-5	2.99188E-1
3.18524E-1	3.43228E-1	2.99063E+2	1.00004E-4	3.00025E-5	3.00012E-1
3.05753E-1	3.30887E-1	2.99071E+2	1.00004E-4	3.00445E-5	3.00432E-1
2.92865E-1	3.18596E-1	2.99079E+2	1.00004E-4	2.99231E-5	2.99217E-1
2.80463E-1	3.06401E-1	2.99086E+2	1.00005E-4	2.99340E-5	2.99326E-1
2.68009E-1	2.94130E-1	2.99094E+2	1.00004E-4	3.00286E-5	3.00273E-1
2.55092E-1	2.81719E-1	2.99101E+2	1.00004E-4	2.99670E-5	2.99657E-1
2.42373E-1	2.69286E-1	2.99108E+2	1.00004E-4	2.99768E-5	2.99755E-1
2.30059E-1	2.56934E-1	2.99115E+2	1.00004E-4	3.00042E-5	3.00029E-1
2.17622E-1	2.44546E-1	2.99121E+2	1.00004E-4	2.99691E-5	2.99678E-1
2.04695E-1	2.32121E-1	2.99127E+2	1.00005E-4	2.99624E-5	2.99611E-1
1.92128E-1	2.19694E-1	2.99135E+2	1.00004E-4	2.99707E-5	2.99693E-1
1.79420E-1	2.07305E-1	2.99142E+2	1.00004E-4	2.99644E-5	2.99631E-1
1.66485E-1	1.94897E-1	2.99149E+2	1.00005E-4	2.99641E-5	2.99628E-1
1.53727E-1	1.82431E-1	2.99155E+2	1.00004E-4	2.99984E-5	2.99971E-1
1.41461E-1	1.70001E-1	2.99160E+2	1.00004E-4	2.99926E-5	2.99913E-1
1.28847E-1	1.57442E-1	2.99166E+2	1.00004E-4	2.99657E-5	2.99644E-1
1.15955E-1	1.44796E-1	2.99173E+2	1.00005E-4	2.99901E-5	2.99888E-1
1.03350E-1	1.32251E-1	2.99178E+2	1.00005E-4	3.00132E-5	3.00118E-1
9.06536E-2	1.19673E-1	2.99185E+2	1.00004E-4	3.00241E-5	3.00227E-1
7.82588E-2	1.07490E-1	2.99193E+2	1.00004E-4	3.00074E-5	3.00061E-1
6.57165E-2	9.52393E-2	2.99199E+2	1.00005E-4	3.00083E-5	3.00069E-1
5.30506E-2	8.25282E-2	2.99202E+2	1.00005E-4	3.00366E-5	3.00352E-1
4.03117E-2	6.98821E-2	2.99206E+2	1.00004E-4	3.00385E-5	3.00372E-1
2.75570E-2	5.73382E-2	2.99213E+2	1.00004E-4	3.00312E-5	3.00298E-1
1.47699E-2	4.48709E-2	2.99220E+2	1.00004E-4	3.00333E-5	3.00319E-1
3.54165E-3	3.28206E-2	2.99224E+2	1.00004E-4	3.00333E-5	3.00320E-1
4.70000E-4	2.25017E-2	2.99230E+2	1.00004E-4	3.00383E-5	3.00370E-1
4.70000E-4	1.54450E-2	2.99234E+2	1.00004E-4	3.00628E-5	3.00615E-1
4.70000E-4	1.10703E-2	2.99238E+2	1.00004E-4	3.00687E-5	3.00674E-1
4.70000E-4	8.94388E-3	2.99244E+2	1.00004E-4	3.00710E-5	3.00697E-1
4.70000E-4	7.97502E-3	2.99249E+2	1.00004E-4	3.00486E-5	3.00472E-1
-5.92125E-3	7.17349E-3	2.99254E+2	1.00005E-4	3.00428E-5	3.00414E-1
-1.54614E-2	5.36185E-3	2.99258E+2	1.00004E-4	3.00625E-5	3.00612E-1
-2.79142E-2	1.12168E-4	2.99261E+2	1.00004E-4	3.00690E-5	3.00677E-1
-4.10419E-2	-9.45901E-3	2.99265E+2	1.00004E-4	3.00697E-5	3.00683E-1
-5.36498E-2	-2.11577E-2	2.99269E+2	1.00004E-4	3.00817E-5	3.00803E-1
-6.62157E-2	-3.36633E-2	2.99272E+2	1.00005E-4	3.00746E-5	3.00732E-1
-7.87588E-2	-4.59286E-2	2.99276E+2	1.00005E-4	3.00542E-5	3.00528E-1
-9.16998E-2	-5.82020E-2	2.99280E+2	1.00004E-4	3.00614E-5	3.00600E-1
-1.04198E-1	-7.08487E-2	2.99284E+2	1.00004E-4	3.00532E-5	3.00519E-1
-1.16769E-1	-8.34831E-2	2.99289E+2	1.00004E-4	3.00611E-5	3.00598E-1
-1.29449E-1	-9.60625E-2	2.99293E+2	1.00005E-4	3.00646E-5	3.00632E-1
-1.41648E-1	-1.08676E-1	2.99297E+2	1.00005E-4	3.00389E-5	3.00376E-1
-1.54650E-1	-1.21100E-1	2.99302E+2	1.00004E-4	3.00654E-5	3.00641E-1
-1.66991E-1	-1.33385E-1	2.99306E+2	1.00004E-4	3.00902E-5	3.00889E-1
-1.79632E-1	-1.45631E-1	2.99309E+2	1.00004E-4	3.00575E-5	3.00562E-1
-1.92269E-1	-1.57788E-1	2.99311E+2	1.00004E-4	3.00918E-5	3.00906E-1
