T_sample_(K)	I_s	V_nv	R_nv
2.98249E+2	1.00004E-4	4.34072E-2	4.34053E+2
2.98254E+2	1.00004E-4	4.34078E-2	4.34059E+2
2.98263E+2	1.00004E-4	4.34090E-2	4.34070E+2
2.98271E+2	1.00005E-4	4.34098E-2	4.34079E+2
2.98280E+2	1.00005E-4	4.34098E-2	4.34078E+2
2.98291E+2	1.00004E-4	4.34092E-2	4.34072E+2
2.98300E+2	1.00004E-4	4.34098E-2	4.34079E+2
2.98306E+2	1.00004E-4	4.34102E-2	4.34082E+2
2.98315E+2	1.00005E-4	4.34098E-2	4.34078E+2
2.98322E+2	1.00005E-4	4.34094E-2	4.34074E+2
2.98327E+2	1.00004E-4	4.34088E-2	4.34069E+2
2.98333E+2	1.00004E-4	4.34081E-2	4.34062E+2
2.98338E+2	1.00004E-4	4.34073E-2	4.34053E+2
2.98342E+2	1.00005E-4	4.34064E-2	4.34045E+2
2.98345E+2	1.00005E-4	4.34060E-2	4.34040E+2
2.98346E+2	1.00004E-4	4.34048E-2	4.34029E+2
2.98347E+2	1.00004E-4	4.34026E-2	4.34007E+2
2.98347E+2	1.00004E-4	4.34008E-2	4.33988E+2
2.98346E+2	1.00004E-4	4.33989E-2	4.33969E+2
2.98343E+2	1.00004E-4	4.33969E-2	4.33950E+2
2.98338E+2	1.00004E-4	4.33946E-2	4.33927E+2
2.98332E+2	1.00004E-4	4.33923E-2	4.33904E+2
2.98325E+2	1.00004E-4	4.33898E-2	4.33879E+2
2.98316E+2	1.00004E-4	4.33869E-2	4.33850E+2
2.98305E+2	1.00004E-4	4.33840E-2	4.33820E+2
2.98294E+2	1.00004E-4	4.33811E-2	4.33792E+2
2.98281E+2	1.00004E-4	4.33777E-2	4.33758E+2
2.98265E+2	1.00004E-4	4.33739E-2	4.33720E+2
2.98249E+2	1.00004E-4	4.33702E-2	4.33683E+2
2.98231E+2	1.00004E-4	4.33666E-2	4.33647E+2
2.98212E+2	1.00004E-4	4.33629E-2	4.33610E+2
2.98191E+2	1.00004E-4	4.33588E-2	4.33569E+2
2.98167E+2	1.00004E-4	4.33545E-2	4.33527E+2
2.98144E+2	1.00004E-4	4.33499E-2	4.33480E+2
2.98118E+2	1.00004E-4	4.33453E-2	4.33434E+2
2.98088E+2	1.00004E-4	4.33406E-2	4.33387E+2
2.98059E+2	1.00004E-4	4.33357E-2	4.33337E+2
2.98027E+2	1.00005E-4	4.33305E-2	4.33285E+2
2.97996E+2	1.00005E-4	4.33252E-2	4.33233E+2
2.97962E+2	1.00004E-4	4.33199E-2	4.33180E+2
2.97927E+2	1.00005E-4	4.33144E-2	4.33125E+2
