T_sample_(K)	I_s	V_nv	R_nv
2.99151E+2	1.00004E-4	3.00841E-5	3.00828E-1
2.99154E+2	1.00004E-4	3.01025E-5	3.01012E-1
2.99157E+2	1.00004E-4	3.01274E-5	3.01261E-1
2.99160E+2	1.00004E-4	3.01321E-5	3.01308E-1
2.99163E+2	1.00004E-4	3.01252E-5	3.01239E-1
2.99167E+2	1.00004E-4	3.01309E-5	3.01295E-1
2.99169E+2	1.00004E-4	3.01312E-5	3.01299E-1
2.99171E+2	1.00004E-4	3.01283E-5	3.01269E-1
2.99175E+2	1.00004E-4	3.01240E-5	3.01226E-1
2.99177E+2	1.00004E-4	3.01100E-5	3.01087E-1
2.99177E+2	1.00005E-4	3.01286E-5	3.01273E-1
2.99177E+2	1.00005E-4	3.01409E-5	3.01395E-1
2.99176E+2	1.00005E-4	3.01617E-5	3.01603E-1
2.99177E+2	1.00005E-4	3.01518E-5	3.01504E-1
2.99175E+2	1.00004E-4	3.01338E-5	3.01324E-1
2.99172E+2	1.00004E-4	3.01283E-5	3.01269E-1
2.99167E+2	1.00005E-4	3.01210E-5	3.01196E-1
2.99162E+2	1.00005E-4	3.01185E-5	3.01171E-1
2.99156E+2	1.00005E-4	3.01021E-5	3.01007E-1
2.99148E+2	1.00004E-4	3.01175E-5	3.01161E-1
2.99140E+2	1.00004E-4	3.01436E-5	3.01423E-1
2.99130E+2	1.00004E-4	3.01581E-5	3.01567E-1
2.99118E+2	1.00004E-4	3.01535E-5	3.01521E-1
2.99105E+2	1.00004E-4	3.01643E-5	3.01629E-1
2.99090E+2	1.00005E-4	3.01441E-5	3.01428E-1
2.99074E+2	1.00004E-4	3.01361E-5	3.01347E-1
2.99057E+2	1.00005E-4	3.01447E-5	3.01433E-1
2.99040E+2	1.00004E-4	3.01274E-5	3.01260E-1
2.99020E+2	1.00005E-4	3.01150E-5	3.01136E-1
2.98999E+2	1.00004E-4	3.01099E-5	3.01086E-1
2.98975E+2	1.00004E-4	3.01323E-5	3.01310E-1
2.98950E+2	1.00004E-4	3.01255E-5	3.01242E-1
2.98924E+2	1.00004E-4	3.01055E-5	3.01042E-1
2.98896E+2	1.00004E-4	3.01332E-5	3.01319E-1
2.98866E+2	1.00004E-4	3.01143E-5	3.01130E-1
2.98836E+2	1.00004E-4	3.01039E-5	3.01026E-1
2.98804E+2	1.00005E-4	3.01289E-5	3.01275E-1
2.98769E+2	1.00005E-4	3.01395E-5	3.01381E-1
2.98733E+2	1.00005E-4	3.01340E-5	3.01326E-1
2.98696E+2	1.00005E-4	3.01479E-5	3.01465E-1
2.98658E+2	1.00004E-4	3.01694E-5	3.01681E-1
2.98617E+2	1.00004E-4	3.01669E-5	3.01656E-1
2.98576E+2	1.00004E-4	3.01717E-5	3.01704E-1
2.98532E+2	1.00004E-4	3.01784E-5	3.01770E-1
2.98487E+2	1.00004E-4	3.01695E-5	3.01682E-1
2.98440E+2	1.00004E-4	3.01461E-5	3.01447E-1
2.98391E+2	1.00005E-4	3.01556E-5	3.01542E-1
2.98341E+2	1.00004E-4	3.01896E-5	3.01882E-1
2.98291E+2	1.00004E-4	3.01947E-5	3.01934E-1
2.98238E+2	1.00004E-4	3.02041E-5	3.02027E-1
2.98183E+2	1.00005E-4	3.01774E-5	3.01760E-1
2.98127E+2	1.00005E-4	3.01515E-5	3.01501E-1
2.98069E+2	1.00005E-4	3.01692E-5	3.01679E-1
2.98010E+2	1.00004E-4	3.02053E-5	3.02039E-1
2.97950E+2	1.00005E-4	3.02157E-5	3.02143E-1
2.97889E+2	1.00005E-4	3.02066E-5	3.02053E-1
2.97826E+2	1.00005E-4	3.01814E-5	3.01801E-1
2.97761E+2	1.00005E-4	3.01686E-5	3.01672E-1
2.97694E+2	1.00005E-4	3.01706E-5	3.01692E-1
2.97627E+2	1.00004E-4	3.01732E-5	3.01719E-1
2.97558E+2	1.00004E-4	3.01529E-5	3.01516E-1
2.97487E+2	1.00004E-4	3.01586E-5	3.01573E-1
2.97416E+2	1.00005E-4	3.02115E-5	3.02101E-1
2.97342E+2	1.00005E-4	3.02064E-5	3.02051E-1
2.97269E+2	1.00004E-4	3.01925E-5	3.01912E-1
2.97196E+2	1.00004E-4	3.01983E-5	3.01970E-1
2.97118E+2	1.00004E-4	3.01756E-5	3.01742E-1
2.97040E+2	1.00005E-4	3.01894E-5	3.01880E-1
2.96964E+2	1.00004E-4	3.01986E-5	3.01973E-1
2.96889E+2	1.00004E-4	3.01936E-5	3.01923E-1
2.96814E+2	1.00004E-4	3.02144E-5	3.02130E-1
2.96733E+2	1.00004E-4	3.02031E-5	3.02018E-1
2.96650E+2	1.00004E-4	3.02045E-5	3.02032E-1
2.96570E+2	1.00005E-4	3.02327E-5	3.02313E-1
2.96487E+2	1.00005E-4	3.02258E-5	3.02244E-1
2.96402E+2	1.00005E-4	3.02243E-5	3.02230E-1
2.96318E+2	1.00004E-4	3.02313E-5	3.02300E-1
2.96233E+2	1.00004E-4	3.02524E-5	3.02511E-1
2.96149E+2	1.00004E-4	3.02555E-5	3.02542E-1
2.96061E+2	1.00005E-4	3.02138E-5	3.02125E-1
2.95973E+2	1.00004E-4	3.02234E-5	3.02220E-1
2.95886E+2	1.00004E-4	3.02441E-5	3.02428E-1
