B_digital_(T)	B_analog_(T)	T_sample_(K)	I_s	V_nv	R_nv
9.50000E-4	-2.75722E-3	2.99381E+2	1.00004E-4	1.69615E-3	1.69607E+1
1.23593E-3	-2.75314E-3	2.99381E+2	1.00004E-4	1.69600E-3	1.69592E+1
8.72688E-3	-2.50141E-3	2.99381E+2	1.00004E-4	1.69587E-3	1.69580E+1
2.19776E-2	-1.49894E-3	2.99382E+2	1.00005E-4	1.69568E-3	1.69561E+1
3.47173E-2	2.06152E-3	2.99384E+2	1.00004E-4	1.69555E-3	1.69548E+1
4.70800E-2	1.15022E-2	2.99384E+2	1.00004E-4	1.69543E-3	1.69535E+1
5.94731E-2	2.50684E-2	2.99382E+2	1.00004E-4	1.69519E-3	1.69512E+1
7.22661E-2	3.90456E-2	2.99383E+2	1.00004E-4	1.69522E-3	1.69515E+1
8.49096E-2	5.25556E-2	2.99384E+2	1.00004E-4	1.69538E-3	1.69531E+1
9.74706E-2	6.58953E-2	2.99384E+2	1.00004E-4	1.69549E-3	1.69542E+1
1.09877E-1	7.90336E-2	2.99384E+2	1.00004E-4	1.69540E-3	1.69532E+1
1.22576E-1	9.18644E-2	2.99385E+2	1.00004E-4	1.69556E-3	1.69549E+1
1.35287E-1	1.04438E-1	2.99387E+2	1.00004E-4	1.69581E-3	1.69573E+1
1.47837E-1	1.17035E-1	2.99389E+2	1.00004E-4	1.69593E-3	1.69586E+1
1.60491E-1	1.29304E-1	2.99389E+2	1.00004E-4	1.69583E-3	1.69575E+1
1.73622E-1	1.41494E-1	2.99391E+2	1.00004E-4	1.69591E-3	1.69584E+1
1.86239E-1	1.53943E-1	2.99391E+2	1.00004E-4	1.69578E-3	1.69571E+1
1.98956E-1	1.66521E-1	2.99391E+2	1.00004E-4	1.69595E-3	1.69588E+1
2.11563E-1	1.79139E-1	2.99390E+2	1.00004E-4	1.69599E-3	1.69592E+1
2.24443E-1	1.91650E-1	2.99390E+2	1.00004E-4	1.69554E-3	1.69546E+1
2.36865E-1	2.04044E-1	2.99389E+2	1.00004E-4	1.69537E-3	1.69530E+1
2.49474E-1	2.16429E-1	2.99389E+2	1.00004E-4	1.69582E-3	1.69575E+1
2.62109E-1	2.28839E-1	2.99386E+2	1.00004E-4	1.69613E-3	1.69605E+1
2.75195E-1	2.41178E-1	2.99385E+2	1.00004E-4	1.69640E-3	1.69632E+1
2.87403E-1	2.53447E-1	2.99384E+2	1.00004E-4	1.69688E-3	1.69681E+1
3.00170E-1	2.65849E-1	2.99384E+2	1.00004E-4	1.69711E-3	1.69704E+1
3.13337E-1	2.78163E-1	2.99381E+2	1.00004E-4	1.69693E-3	1.69686E+1
3.25547E-1	2.90308E-1	2.99379E+2	1.00004E-4	1.69650E-3	1.69643E+1
3.37923E-1	3.02471E-1	2.99378E+2	1.00004E-4	1.69664E-3	1.69657E+1
3.50599E-1	3.14637E-1	2.99374E+2	1.00004E-4	1.69658E-3	1.69651E+1
3.63061E-1	3.26670E-1	2.99371E+2	1.00004E-4	1.69636E-3	1.69629E+1
3.75770E-1	3.38580E-1	2.99370E+2	1.00004E-4	1.69639E-3	1.69632E+1
3.88630E-1	3.50560E-1	2.99365E+2	1.00004E-4	1.69660E-3	1.69652E+1
4.01588E-1	3.62536E-1	2.99361E+2	1.00004E-4	1.69658E-3	1.69650E+1
4.13963E-1	3.74417E-1	2.99359E+2	1.00004E-4	1.69634E-3	1.69626E+1
4.26886E-1	3.86301E-1	2.99358E+2	1.00004E-4	1.69632E-3	1.69625E+1
4.39718E-1	3.98253E-1	2.99355E+2	1.00004E-4	1.69646E-3	1.69638E+1
4.52266E-1	4.10234E-1	2.99350E+2	1.00004E-4	1.69652E-3	1.69644E+1
4.64700E-1	4.22654E-1	2.99346E+2	1.00004E-4	1.69646E-3	1.69639E+1
4.76892E-1	4.35137E-1	2.99343E+2	1.00005E-4	1.69633E-3	1.69625E+1
4.89498E-1	4.47316E-1	2.99339E+2	1.00005E-4	1.69631E-3	1.69623E+1
5.02733E-1	4.59400E-1	2.99336E+2	1.00004E-4	1.69661E-3	1.69653E+1
5.16133E-1	4.71422E-1	2.99332E+2	1.00004E-4	1.69657E-3	1.69650E+1
5.28518E-1	4.83620E-1	2.99328E+2	1.00004E-4	1.69643E-3	1.69635E+1
5.40263E-1	4.95756E-1	2.99324E+2	1.00004E-4	1.69627E-3	1.69619E+1
5.53576E-1	5.07742E-1	2.99319E+2	1.00004E-4	1.69620E-3	1.69612E+1
5.65737E-1	5.19752E-1	2.99314E+2	1.00004E-4	1.69641E-3	1.69634E+1
5.78331E-1	5.31787E-1	2.99310E+2	1.00004E-4	1.69626E-3	1.69619E+1
5.90975E-1	5.43832E-1	2.99306E+2	1.00004E-4	1.69624E-3	1.69616E+1
6.03649E-1	5.55925E-1	2.99301E+2	1.00004E-4	1.69594E-3	1.69586E+1
6.16683E-1	5.67978E-1	2.99298E+2	1.00004E-4	1.69602E-3	1.69594E+1
6.29158E-1	5.79960E-1	2.99293E+2	1.00004E-4	1.69577E-3	1.69570E+1
6.41890E-1	5.92102E-1	2.99289E+2	1.00004E-4	1.69581E-3	1.69574E+1
6.54706E-1	6.04296E-1	2.99282E+2	1.00004E-4	1.69622E-3	1.69614E+1
6.67458E-1	6.16301E-1	2.99276E+2	1.00004E-4	1.69625E-3	1.69618E+1
6.80165E-1	6.28351E-1	2.99270E+2	1.00004E-4	1.69634E-3	1.69627E+1
6.92106E-1	6.40430E-1	2.99266E+2	1.00004E-4	1.69629E-3	1.69621E+1
7.05151E-1	6.52403E-1	2.99259E+2	1.00005E-4	1.69594E-3	1.69586E+1
7.18125E-1	6.64440E-1	2.99253E+2	1.00004E-4	1.69549E-3	1.69542E+1
7.30600E-1	6.76563E-1	2.99248E+2	1.00004E-4	1.69561E-3	1.69554E+1
7.42881E-1	6.88779E-1	2.99242E+2	1.00004E-4	1.69603E-3	1.69596E+1
7.55958E-1	7.00947E-1	2.99235E+2	1.00004E-4	1.69651E-3	1.69643E+1
7.69116E-1	7.13135E-1	2.99228E+2	1.00004E-4	1.69654E-3	1.69647E+1
7.81115E-1	7.25349E-1	2.99224E+2	1.00004E-4	1.69636E-3	1.69629E+1
7.93621E-1	7.37560E-1	2.99217E+2	1.00004E-4	1.69645E-3	1.69638E+1
8.06427E-1	7.49801E-1	2.99210E+2	1.00004E-4	1.69703E-3	1.69696E+1
8.19288E-1	7.61938E-1	2.99203E+2	1.00004E-4	1.69664E-3	1.69657E+1
8.32032E-1	7.74176E-1	2.99197E+2	1.00004E-4	1.69598E-3	1.69590E+1
8.44312E-1	7.86533E-1	2.99193E+2	1.00004E-4	1.69618E-3	1.69611E+1
8.57212E-1	7.98767E-1	2.99186E+2	1.00004E-4	1.69604E-3	1.69597E+1
8.69613E-1	8.11074E-1	2.99178E+2	1.00004E-4	1.69582E-3	1.69574E+1
8.82377E-1	8.23561E-1	2.99171E+2	1.00004E-4	1.69614E-3	1.69607E+1
8.95684E-1	8.35929E-1	2.99165E+2	1.00004E-4	1.69568E-3	1.69561E+1
9.08119E-1	8.48256E-1	2.99158E+2	1.00004E-4	1.69537E-3	1.69529E+1
9.20174E-1	8.60704E-1	2.99150E+2	1.00004E-4	1.69570E-3	1.69562E+1
9.32566E-1	8.73278E-1	2.99141E+2	1.00004E-4	1.69567E-3	1.69560E+1
9.45492E-1	8.85817E-1	2.99136E+2	1.00004E-4	1.69528E-3	1.69521E+1
9.58384E-1	8.98318E-1	2.99131E+2	1.00004E-4	1.69535E-3	1.69528E+1
9.71380E-1	9.11013E-1	2.99123E+2	1.00004E-4	1.69532E-3	1.69525E+1
9.84293E-1	9.23661E-1	2.99118E+2	1.00005E-4	1.69494E-3	1.69486E+1
9.96781E-1	9.36333E-1	2.99112E+2	1.00004E-4	1.69496E-3	1.69488E+1
1.00928E+0	9.49174E-1	2.99105E+2	1.00004E-4	1.69510E-3	1.69503E+1
1.02194E+0	9.62038E-1	2.99099E+2	1.00004E-4	1.69506E-3	1.69499E+1
1.03442E+0	9.74766E-1	2.99093E+2	1.00004E-4	1.69519E-3	1.69512E+1
1.04710E+0	9.87483E-1	2.99086E+2	1.00004E-4	1.69527E-3	1.69519E+1
1.05947E+0	1.00031E+0	2.99082E+2	1.00004E-4	1.69510E-3	1.69503E+1
1.07281E+0	1.01309E+0	2.99078E+2	1.00004E-4	1.69495E-3	1.69487E+1
1.08538E+0	1.02561E+0	2.99073E+2	1.00005E-4	1.69554E-3	1.69546E+1
1.09821E+0	1.03796E+0	2.99069E+2	1.00004E-4	1.69594E-3	1.69587E+1
1.11058E+0	1.05019E+0	2.99064E+2	1.00004E-4	1.69590E-3	1.69583E+1
1.12345E+0	1.06240E+0	2.99060E+2	1.00004E-4	1.69562E-3	1.69555E+1
1.13583E+0	1.07463E+0	2.99054E+2	1.00004E-4	1.69584E-3	1.69576E+1
1.14794E+0	1.08698E+0	2.99051E+2	1.00004E-4	1.69610E-3	1.69603E+1
1.16058E+0	1.09932E+0	2.99049E+2	1.00004E-4	1.69594E-3	1.69586E+1
1.17367E+0	1.11151E+0	2.99047E+2	1.00004E-4	1.69605E-3	1.69598E+1
1.18694E+0	1.12378E+0	2.99045E+2	1.00004E-4	1.69607E-3	1.69600E+1
1.19915E+0	1.13602E+0	2.99042E+2	1.00004E-4	1.69589E-3	1.69582E+1
1.21137E+0	1.14827E+0	2.99039E+2	1.00004E-4	1.69602E-3	1.69595E+1
1.22406E+0	1.16056E+0	2.99040E+2	1.00004E-4	1.69596E-3	1.69589E+1
1.23658E+0	1.17293E+0	2.99040E+2	1.00004E-4	1.69579E-3	1.69572E+1
1.24953E+0	1.18525E+0	2.99038E+2	1.00004E-4	1.69570E-3	1.69563E+1
1.26238E+0	1.19746E+0	2.99038E+2	1.00004E-4	1.69575E-3	1.69568E+1
1.27551E+0	1.20985E+0	2.99038E+2	1.00004E-4	1.69548E-3	1.69541E+1
1.28818E+0	1.22213E+0	2.99038E+2	1.00004E-4	1.69498E-3	1.69491E+1
1.30000E+0	1.23438E+0	2.99039E+2	1.00004E-4	1.69512E-3	1.69505E+1
1.31300E+0	1.24678E+0	2.99041E+2	1.00004E-4	1.69517E-3	1.69510E+1
1.32590E+0	1.25900E+0	2.99042E+2	1.00004E-4	1.69492E-3	1.69485E+1
1.33880E+0	1.27128E+0	2.99042E+2	1.00004E-4	1.69543E-3	1.69536E+1
1.35174E+0	1.28358E+0	2.99045E+2	1.00004E-4	1.69556E-3	1.69549E+1
1.36320E+0	1.29595E+0	2.99048E+2	1.00004E-4	1.69508E-3	1.69500E+1
1.37621E+0	1.30845E+0	2.99050E+2	1.00004E-4	1.69506E-3	1.69499E+1
1.38951E+0	1.32086E+0	2.99051E+2	1.00004E-4	1.69537E-3	1.69529E+1
1.40186E+0	1.33327E+0	2.99054E+2	1.00004E-4	1.69568E-3	1.69561E+1
1.41443E+0	1.34563E+0	2.99058E+2	1.00004E-4	1.69557E-3	1.69549E+1
1.42624E+0	1.35788E+0	2.99063E+2	1.00004E-4	1.69552E-3	1.69544E+1
1.43931E+0	1.37020E+0	2.99068E+2	1.00004E-4	1.69525E-3	1.69518E+1
1.45167E+0	1.38251E+0	2.99073E+2	1.00004E-4	1.69507E-3	1.69500E+1
1.46523E+0	1.39483E+0	2.99077E+2	1.00004E-4	1.69512E-3	1.69504E+1
1.47779E+0	1.40714E+0	2.99079E+2	1.00004E-4	1.69562E-3	1.69554E+1
1.49035E+0	1.41948E+0	2.99083E+2	1.00004E-4	1.69595E-3	1.69587E+1
1.50289E+0	1.43187E+0	2.99089E+2	1.00004E-4	1.69580E-3	1.69573E+1
1.51516E+0	1.44418E+0	2.99096E+2	1.00004E-4	1.69603E-3	1.69596E+1
1.52853E+0	1.45657E+0	2.99100E+2	1.00004E-4	1.69623E-3	1.69615E+1
1.54108E+0	1.46902E+0	2.99104E+2	1.00004E-4	1.69614E-3	1.69607E+1
1.55365E+0	1.48137E+0	2.99111E+2	1.00004E-4	1.69613E-3	1.69606E+1
1.56641E+0	1.49361E+0	2.99118E+2	1.00004E-4	1.69602E-3	1.69595E+1
1.57833E+0	1.50590E+0	2.99125E+2	1.00004E-4	1.69592E-3	1.69585E+1
1.59142E+0	1.51837E+0	2.99130E+2	1.00004E-4	1.69598E-3	1.69590E+1
1.60433E+0	1.53083E+0	2.99136E+2	1.00004E-4	1.69609E-3	1.69601E+1
1.61696E+0	1.54304E+0	2.99143E+2	1.00004E-4	1.69594E-3	1.69587E+1
1.63007E+0	1.55531E+0	2.99149E+2	1.00004E-4	1.69556E-3	1.69549E+1
1.64259E+0	1.56772E+0	2.99156E+2	1.00004E-4	1.69541E-3	1.69534E+1
1.65545E+0	1.58004E+0	2.99163E+2	1.00004E-4	1.69567E-3	1.69559E+1
1.66770E+0	1.59241E+0	2.99169E+2	1.00004E-4	1.69631E-3	1.69623E+1
1.68045E+0	1.60487E+0	2.99176E+2	1.00004E-4	1.69675E-3	1.69667E+1
1.69281E+0	1.61724E+0	2.99184E+2	1.00004E-4	1.69649E-3	1.69642E+1
1.70557E+0	1.62963E+0	2.99191E+2	1.00004E-4	1.69607E-3	1.69600E+1
1.71815E+0	1.64200E+0	2.99197E+2	1.00004E-4	1.69606E-3	1.69599E+1
1.72968E+0	1.65430E+0	2.99203E+2	1.00004E-4	1.69662E-3	1.69655E+1
1.74337E+0	1.66678E+0	2.99210E+2	1.00004E-4	1.69621E-3	1.69614E+1
1.75587E+0	1.67923E+0	2.99217E+2	1.00004E-4	1.69562E-3	1.69555E+1
