B_digital_(T)	B_analog_(T)	T_sample_(K)	I_s	V_nv	R_nv
9.50000E-4	-2.61851E-3	2.98634E+2	9.99987E-5	-7.44173E-5	-7.44183E-1
9.50000E-4	-2.61716E-3	2.98639E+2	9.99987E-5	-7.44176E-5	-7.44186E-1
1.48558E-2	-2.27314E-3	2.98648E+2	9.99987E-5	-7.44487E-5	-7.44497E-1
3.04724E-2	1.18512E-4	2.98656E+2	9.99988E-5	-7.44673E-5	-7.44682E-1
4.93695E-2	9.84788E-3	2.98664E+2	9.99988E-5	-7.44327E-5	-7.44336E-1
6.90367E-2	2.74027E-2	2.98673E+2	9.99988E-5	-7.44229E-5	-7.44238E-1
8.87196E-2	4.72480E-2	2.98680E+2	9.99988E-5	-7.44361E-5	-7.44370E-1
1.08242E-1	6.72571E-2	2.98688E+2	9.99987E-5	-7.44356E-5	-7.44365E-1
1.27463E-1	8.72854E-2	2.98697E+2	9.99987E-5	-7.44510E-5	-7.44520E-1
1.47022E-1	1.07223E-1	2.98703E+2	9.99987E-5	-7.44616E-5	-7.44626E-1
1.66989E-1	1.27130E-1	2.98710E+2	9.99988E-5	-7.44500E-5	-7.44509E-1
1.86472E-1	1.46979E-1	2.98718E+2	9.99987E-5	-7.44599E-5	-7.44608E-1
2.06036E-1	1.66796E-1	2.98724E+2	9.99986E-5	-7.44550E-5	-7.44561E-1
2.25768E-1	1.86590E-1	2.98730E+2	9.99986E-5	-7.44683E-5	-7.44694E-1
2.45376E-1	2.06144E-1	2.98736E+2	9.99987E-5	-7.44615E-5	-7.44625E-1
2.64267E-1	2.25365E-1	2.98738E+2	9.99987E-5	-7.44100E-5	-7.44109E-1
2.84170E-1	2.44744E-1	2.98740E+2	9.99987E-5	-7.44168E-5	-7.44178E-1
3.03970E-1	2.64041E-1	2.98741E+2	9.99987E-5	-7.44499E-5	-7.44508E-1
3.23146E-1	2.83077E-1	2.98741E+2	9.99986E-5	-7.44848E-5	-7.44859E-1
3.42487E-1	3.01978E-1	2.98740E+2	9.99987E-5	-7.44864E-5	-7.44874E-1
3.62296E-1	3.20517E-1	2.98741E+2	9.99987E-5	-7.44197E-5	-7.44207E-1
3.81708E-1	3.38931E-1	2.98739E+2	9.99987E-5	-7.44189E-5	-7.44198E-1
4.01078E-1	3.57163E-1	2.98735E+2	9.99986E-5	-7.44405E-5	-7.44415E-1
4.20589E-1	3.75599E-1	2.98729E+2	9.99987E-5	-7.44350E-5	-7.44359E-1
4.40074E-1	3.94223E-1	2.98721E+2	9.99987E-5	-7.44581E-5	-7.44590E-1
4.59918E-1	4.13205E-1	2.98711E+2	9.99987E-5	-7.44751E-5	-7.44760E-1
4.79913E-1	4.32291E-1	2.98701E+2	9.99988E-5	-7.44378E-5	-7.44387E-1
4.99084E-1	4.51141E-1	2.98688E+2	9.99987E-5	-7.43504E-5	-7.43513E-1
5.17936E-1	4.70022E-1	2.98673E+2	9.99987E-5	-7.42905E-5	-7.42915E-1
5.37465E-1	4.88742E-1	2.98657E+2	9.99987E-5	-7.43492E-5	-7.43502E-1
5.56958E-1	5.07421E-1	2.98638E+2	9.99988E-5	-7.43729E-5	-7.43739E-1
5.76738E-1	5.26159E-1	2.98617E+2	9.99988E-5	-7.43533E-5	-7.43542E-1
5.96181E-1	5.44904E-1	2.98595E+2	9.99988E-5	-7.43421E-5	-7.43430E-1
6.15684E-1	5.63572E-1	2.98570E+2	9.99988E-5	-7.43048E-5	-7.43057E-1
6.35342E-1	5.82237E-1	2.98540E+2	9.99988E-5	-7.42686E-5	-7.42695E-1
6.54865E-1	6.00926E-1	2.98509E+2	9.99988E-5	-7.42612E-5	-7.42621E-1
6.74329E-1	6.19529E-1	2.98478E+2	9.99987E-5	-7.43266E-5	-7.43276E-1
6.94465E-1	6.38219E-1	2.98441E+2	9.99987E-5	-7.43242E-5	-7.43251E-1
7.13528E-1	6.56922E-1	2.98402E+2	9.99987E-5	-7.43274E-5	-7.43283E-1
