T_sample_(K)	I_s	V_nv	R_nv
2.99342E+2	9.99988E-5	2.48409E-2	2.48412E+2
2.99344E+2	9.99988E-5	2.48408E-2	2.48411E+2
2.99347E+2	9.99987E-5	2.48406E-2	2.48409E+2
2.99349E+2	9.99987E-5	2.48405E-2	2.48408E+2
2.99353E+2	9.99987E-5	2.48403E-2	2.48406E+2
2.99356E+2	9.99988E-5	2.48398E-2	2.48401E+2
2.99357E+2	9.99987E-5	2.48396E-2	2.48399E+2
2.99358E+2	9.99987E-5	2.48389E-2	2.48392E+2
2.99358E+2	9.99987E-5	2.48372E-2	2.48376E+2
2.99355E+2	9.99987E-5	2.48358E-2	2.48361E+2
2.99351E+2	9.99986E-5	2.48343E-2	2.48346E+2
2.99347E+2	9.99987E-5	2.48325E-2	2.48328E+2
2.99342E+2	9.99986E-5	2.48307E-2	2.48311E+2
2.99334E+2	9.99987E-5	2.48282E-2	2.48286E+2
2.99323E+2	9.99988E-5	2.48257E-2	2.48260E+2
2.99310E+2	9.99988E-5	2.48230E-2	2.48233E+2
2.99295E+2	9.99987E-5	2.48201E-2	2.48204E+2
2.99277E+2	9.99986E-5	2.48169E-2	2.48173E+2
2.99258E+2	9.99987E-5	2.48134E-2	2.48137E+2
2.99237E+2	9.99987E-5	2.48099E-2	2.48102E+2
2.99213E+2	9.99987E-5	2.48062E-2	2.48065E+2
2.99185E+2	9.99987E-5	2.48021E-2	2.48024E+2
2.99155E+2	9.99987E-5	2.47977E-2	2.47981E+2
2.99124E+2	9.99987E-5	2.47933E-2	2.47936E+2
2.99090E+2	9.99987E-5	2.47886E-2	2.47890E+2
2.99053E+2	9.99987E-5	2.47838E-2	2.47842E+2
2.99013E+2	9.99987E-5	2.47790E-2	2.47793E+2
2.98969E+2	9.99987E-5	2.47738E-2	2.47742E+2
2.98925E+2	9.99987E-5	2.47686E-2	2.47689E+2
2.98879E+2	9.99987E-5	2.47634E-2	2.47637E+2
2.98829E+2	9.99988E-5	2.47577E-2	2.47580E+2
2.98775E+2	9.99988E-5	2.47519E-2	2.47522E+2
2.98719E+2	9.99987E-5	2.47463E-2	2.47466E+2
2.98663E+2	9.99987E-5	2.47404E-2	2.47407E+2
2.98602E+2	9.99987E-5	2.47342E-2	2.47345E+2
2.98537E+2	9.99987E-5	2.47279E-2	2.47282E+2
2.98471E+2	9.99986E-5	2.47214E-2	2.47218E+2
2.98404E+2	9.99986E-5	2.47151E-2	2.47155E+2
2.98334E+2	9.99987E-5	2.47085E-2	2.47088E+2
2.98260E+2	9.99988E-5	2.47016E-2	2.47019E+2
2.98184E+2	9.99987E-5	2.46946E-2	2.46949E+2
2.98106E+2	9.99987E-5	2.46875E-2	2.46878E+2
2.98026E+2	9.99987E-5	2.46803E-2	2.46807E+2
2.97941E+2	9.99987E-5	2.46731E-2	2.46734E+2
2.97854E+2	9.99987E-5	2.46657E-2	2.46660E+2
2.97764E+2	9.99988E-5	2.46582E-2	2.46585E+2
2.97675E+2	9.99987E-5	2.46507E-2	2.46511E+2
2.97584E+2	9.99986E-5	2.46431E-2	2.46435E+2
2.97489E+2	9.99986E-5	2.46353E-2	2.46357E+2
2.97392E+2	9.99987E-5	2.46275E-2	2.46278E+2
2.97292E+2	9.99987E-5	2.46194E-2	2.46197E+2
2.97188E+2	9.99986E-5	2.46113E-2	2.46116E+2
2.97083E+2	9.99986E-5	2.46030E-2	2.46034E+2
2.96975E+2	9.99987E-5	2.45948E-2	2.45952E+2
2.96869E+2	9.99987E-5	2.45865E-2	2.45868E+2
2.96761E+2	9.99986E-5	2.45778E-2	2.45781E+2
2.96648E+2	9.99987E-5	2.45690E-2	2.45693E+2
2.96534E+2	9.99987E-5	2.45602E-2	2.45605E+2
2.96418E+2	9.99987E-5	2.45516E-2	2.45520E+2
2.96302E+2	9.99987E-5	2.45431E-2	2.45434E+2
2.96184E+2	9.99987E-5	2.45345E-2	2.45348E+2
2.96061E+2	9.99987E-5	2.45256E-2	2.45259E+2
2.95936E+2	9.99987E-5	2.45164E-2	2.45167E+2
2.95810E+2	9.99987E-5	2.45070E-2	2.45074E+2
2.95684E+2	9.99987E-5	2.44979E-2	2.44982E+2
2.95555E+2	9.99987E-5	2.44887E-2	2.44890E+2
2.95422E+2	9.99987E-5	2.44793E-2	2.44796E+2
2.95288E+2	9.99987E-5	2.44701E-2	2.44704E+2
2.95155E+2	9.99986E-5	2.44609E-2	2.44613E+2
2.95020E+2	9.99986E-5	2.44517E-2	2.44520E+2
2.94883E+2	9.99987E-5	2.44423E-2	2.44427E+2
2.94745E+2	9.99987E-5	2.44332E-2	2.44335E+2
2.94606E+2	9.99987E-5	2.44238E-2	2.44241E+2
2.94462E+2	9.99987E-5	2.44144E-2	2.44147E+2
2.94319E+2	9.99986E-5	2.44049E-2	2.44052E+2
2.94176E+2	9.99987E-5	2.43953E-2	2.43956E+2
2.94031E+2	9.99987E-5	2.43857E-2	2.43860E+2
2.93882E+2	9.99987E-5	2.43761E-2	2.43765E+2
2.93733E+2	9.99987E-5	2.43665E-2	2.43668E+2
2.93582E+2	9.99987E-5	2.43567E-2	2.43570E+2
2.93429E+2	9.99986E-5	2.43468E-2	2.43471E+2
2.93275E+2	9.99987E-5	2.43370E-2	2.43373E+2
2.93119E+2	9.99987E-5	2.43272E-2	2.43276E+2
2.92963E+2	9.99987E-5	2.43173E-2	2.43176E+2
2.92805E+2	9.99987E-5	2.43072E-2	2.43075E+2
2.92644E+2	9.99987E-5	2.42976E-2	2.42979E+2
2.92484E+2	9.99987E-5	2.42876E-2	2.42879E+2
2.92322E+2	9.99987E-5	2.42777E-2	2.42780E+2
2.92159E+2	9.99987E-5	2.42681E-2	2.42684E+2
2.91998E+2	9.99987E-5	2.42582E-2	2.42585E+2
2.91835E+2	9.99987E-5	2.42478E-2	2.42481E+2
2.91668E+2	9.99987E-5	2.42377E-2	2.42380E+2
2.91499E+2	9.99986E-5	2.42280E-2	2.42283E+2
2.91333E+2	9.99986E-5	2.42178E-2	2.42181E+2
2.91167E+2	9.99986E-5	2.42073E-2	2.42077E+2
2.90997E+2	9.99986E-5	2.41971E-2	2.41974E+2
2.90829E+2	9.99987E-5	2.41871E-2	2.41874E+2
2.90661E+2	9.99987E-5	2.41770E-2	2.41773E+2
2.90490E+2	9.99987E-5	2.41666E-2	2.41669E+2
2.90317E+2	9.99987E-5	2.41564E-2	2.41568E+2
2.90145E+2	9.99988E-5	2.41462E-2	2.41465E+2
2.89971E+2	9.99987E-5	2.41356E-2	2.41359E+2
2.89796E+2	9.99987E-5	2.41254E-2	2.41257E+2
2.89620E+2	9.99987E-5	2.41153E-2	2.41156E+2
2.89442E+2	9.99986E-5	2.41053E-2	2.41056E+2
2.89267E+2	9.99987E-5	2.40950E-2	2.40953E+2
2.89089E+2	9.99987E-5	2.40839E-2	2.40842E+2
2.88908E+2	9.99988E-5	2.40731E-2	2.40734E+2
2.88725E+2	9.99988E-5	2.40627E-2	2.40630E+2
2.88542E+2	9.99988E-5	2.40520E-2	2.40523E+2
2.88356E+2	9.99987E-5	2.40414E-2	2.40417E+2
2.88172E+2	9.99988E-5	2.40311E-2	2.40314E+2
2.87989E+2	9.99988E-5	2.40207E-2	2.40210E+2
2.87805E+2	9.99987E-5	2.40098E-2	2.40101E+2
2.87619E+2	9.99987E-5	2.39992E-2	2.39995E+2
2.87430E+2	9.99987E-5	2.39891E-2	2.39894E+2
2.87241E+2	9.99987E-5	2.39786E-2	2.39789E+2
2.87054E+2	9.99988E-5	2.39678E-2	2.39681E+2
2.86866E+2	9.99987E-5	2.39573E-2	2.39576E+2
2.86677E+2	9.99987E-5	2.39469E-2	2.39472E+2
2.86488E+2	9.99987E-5	2.39363E-2	2.39366E+2
2.86295E+2	9.99986E-5	2.39261E-2	2.39264E+2
2.86105E+2	9.99986E-5	2.39161E-2	2.39164E+2
2.85917E+2	9.99986E-5	2.39058E-2	2.39061E+2
2.85730E+2	9.99987E-5	2.38950E-2	2.38953E+2
2.85543E+2	9.99987E-5	2.38841E-2	2.38844E+2
2.85353E+2	9.99987E-5	2.38738E-2	2.38741E+2
2.85162E+2	9.99987E-5	2.38636E-2	2.38640E+2
2.84973E+2	9.99987E-5	2.38538E-2	2.38541E+2
2.84786E+2	9.99987E-5	2.38440E-2	2.38443E+2
2.84596E+2	9.99987E-5	2.38335E-2	2.38339E+2
2.84407E+2	9.99987E-5	2.38228E-2	2.38231E+2
2.84215E+2	9.99987E-5	2.38125E-2	2.38128E+2
2.84024E+2	9.99986E-5	2.38012E-2	2.38015E+2
2.83828E+2	9.99987E-5	2.37903E-2	2.37907E+2
2.83632E+2	9.99987E-5	2.37805E-2	2.37808E+2
2.83438E+2	9.99987E-5	2.37705E-2	2.37708E+2
2.83244E+2	9.99987E-5	2.37599E-2	2.37602E+2
2.83048E+2	9.99986E-5	2.37490E-2	2.37493E+2
2.82853E+2	9.99987E-5	2.37386E-2	2.37389E+2
2.82657E+2	9.99987E-5	2.37287E-2	2.37290E+2
2.82460E+2	9.99987E-5	2.37183E-2	2.37187E+2
2.82263E+2	9.99988E-5	2.37070E-2	2.37073E+2
2.82061E+2	9.99988E-5	2.36959E-2	2.36962E+2
2.81861E+2	9.99988E-5	2.36854E-2	2.36857E+2
2.81661E+2	9.99988E-5	2.36746E-2	2.36749E+2
2.81459E+2	9.99987E-5	2.36635E-2	2.36638E+2
2.81255E+2	9.99986E-5	2.36527E-2	2.36530E+2
2.81054E+2	9.99987E-5	2.36429E-2	2.36432E+2
2.80853E+2	9.99987E-5	2.36330E-2	2.36333E+2
2.80652E+2	9.99987E-5	2.36223E-2	2.36226E+2
2.80453E+2	9.99987E-5	2.36120E-2	2.36123E+2
2.80256E+2	9.99987E-5	2.36017E-2	2.36020E+2
2.80058E+2	9.99988E-5	2.35910E-2	2.35912E+2
2.79859E+2	9.99987E-5	2.35799E-2	2.35802E+2
2.79658E+2	9.99986E-5	2.35693E-2	2.35696E+2
2.79459E+2	9.99988E-5	2.35595E-2	2.35598E+2
2.79260E+2	9.99988E-5	2.35494E-2	2.35497E+2
2.79060E+2	9.99987E-5	2.35389E-2	2.35392E+2
2.78861E+2	9.99987E-5	2.35279E-2	2.35282E+2
2.78661E+2	9.99987E-5	2.35173E-2	2.35176E+2
2.78458E+2	9.99988E-5	2.35069E-2	2.35072E+2
2.78257E+2	9.99988E-5	2.34965E-2	2.34968E+2
2.78056E+2	9.99988E-5	2.34862E-2	2.34865E+2
2.77851E+2	9.99987E-5	2.34758E-2	2.34761E+2
2.77650E+2	9.99987E-5	2.34659E-2	2.34663E+2
