B_digital_(T)	B_analog_(T)	T_sample_(K)	I_s	V_nv	R_nv
9.50000E-4	-3.06897E-3	2.99296E+2	9.99985E-5	-8.97734E-5	-8.97747E-1
1.42002E-3	-3.06921E-3	2.99296E+2	9.99985E-5	-8.97624E-5	-8.97637E-1
1.25363E-2	-2.80083E-3	2.99295E+2	9.99986E-5	-8.97760E-5	-8.97772E-1
2.86482E-2	-9.95099E-4	2.99293E+2	9.99987E-5	-8.97758E-5	-8.97770E-1
4.79286E-2	8.03090E-3	2.99291E+2	9.99986E-5	-8.97425E-5	-8.97438E-1
6.73138E-2	2.46443E-2	2.99289E+2	9.99986E-5	-8.97578E-5	-8.97591E-1
8.68600E-2	4.42729E-2	2.99287E+2	9.99986E-5	-8.97609E-5	-8.97622E-1
1.06403E-1	6.43042E-2	2.99284E+2	9.99986E-5	-8.97490E-5	-8.97503E-1
1.25919E-1	8.45266E-2	2.99284E+2	9.99986E-5	-8.97808E-5	-8.97821E-1
1.45082E-1	1.04646E-1	2.99284E+2	9.99985E-5	-8.97689E-5	-8.97702E-1
1.64723E-1	1.24299E-1	2.99281E+2	9.99985E-5	-8.97501E-5	-8.97514E-1
1.84406E-1	1.44034E-1	2.99279E+2	9.99986E-5	-8.97857E-5	-8.97870E-1
2.03915E-1	1.63943E-1	2.99277E+2	9.99986E-5	-8.97809E-5	-8.97821E-1
2.23202E-1	1.83557E-1	2.99276E+2	9.99986E-5	-8.97822E-5	-8.97835E-1
2.43098E-1	2.02889E-1	2.99273E+2	9.99985E-5	-8.97835E-5	-8.97848E-1
2.62412E-1	2.22159E-1	2.99270E+2	9.99986E-5	-8.97601E-5	-8.97613E-1
2.81472E-1	2.41523E-1	2.99266E+2	9.99986E-5	-8.97645E-5	-8.97658E-1
3.01492E-1	2.60724E-1	2.99261E+2	9.99985E-5	-8.97854E-5	-8.97867E-1
3.21004E-1	2.79682E-1	2.99257E+2	9.99985E-5	-8.97818E-5	-8.97832E-1
3.40304E-1	2.98547E-1	2.99251E+2	9.99985E-5	-8.97909E-5	-8.97922E-1
3.60115E-1	3.17097E-1	2.99246E+2	9.99987E-5	-8.98088E-5	-8.98100E-1
3.79360E-1	3.35476E-1	2.99239E+2	9.99986E-5	-8.98169E-5	-8.98181E-1
3.99436E-1	3.54031E-1	2.99231E+2	9.99984E-5	-8.97960E-5	-8.97974E-1
4.19201E-1	3.72471E-1	2.99222E+2	9.99985E-5	-8.97888E-5	-8.97901E-1
4.38357E-1	3.90812E-1	2.99211E+2	9.99986E-5	-8.97812E-5	-8.97825E-1
4.57402E-1	4.09511E-1	2.99200E+2	9.99985E-5	-8.97588E-5	-8.97601E-1
4.76500E-1	4.28719E-1	2.99189E+2	9.99986E-5	-8.97614E-5	-8.97627E-1
4.96185E-1	4.47813E-1	2.99175E+2	9.99986E-5	-8.97738E-5	-8.97751E-1
5.16417E-1	4.66432E-1	2.99160E+2	9.99985E-5	-8.97804E-5	-8.97817E-1
5.35681E-1	4.85061E-1	2.99143E+2	9.99986E-5	-8.97762E-5	-8.97775E-1
5.54534E-1	5.03795E-1	2.99122E+2	9.99985E-5	-8.97509E-5	-8.97522E-1
5.74420E-1	5.22475E-1	2.99102E+2	9.99984E-5	-8.97721E-5	-8.97735E-1
5.94082E-1	5.41270E-1	2.99081E+2	9.99983E-5	-8.97874E-5	-8.97889E-1
6.13662E-1	5.60084E-1	2.99057E+2	9.99984E-5	-8.97712E-5	-8.97726E-1
6.33132E-1	5.78701E-1	2.99030E+2	9.99985E-5	-8.97994E-5	-8.98008E-1
6.52851E-1	5.97285E-1	2.99002E+2	9.99986E-5	-8.97989E-5	-8.98002E-1
6.72214E-1	6.15896E-1	2.98972E+2	9.99986E-5	-8.97932E-5	-8.97944E-1
6.91559E-1	6.34716E-1	2.98940E+2	9.99987E-5	-8.97822E-5	-8.97834E-1
7.11382E-1	6.53474E-1	2.98908E+2	9.99986E-5	-8.97687E-5	-8.97699E-1
7.31053E-1	6.72145E-1	2.98870E+2	9.99986E-5	-8.97504E-5	-8.97516E-1
7.49939E-1	6.90890E-1	2.98829E+2	9.99986E-5	-8.97359E-5	-8.97371E-1
7.69391E-1	7.09698E-1	2.98788E+2	9.99987E-5	-8.97220E-5	-8.97232E-1
7.89712E-1	7.28424E-1	2.98746E+2	9.99987E-5	-8.97261E-5	-8.97273E-1
8.09049E-1	7.47197E-1	2.98699E+2	9.99986E-5	-8.97590E-5	-8.97603E-1
8.28183E-1	7.66319E-1	2.98649E+2	9.99984E-5	-8.97158E-5	-8.97172E-1
8.47655E-1	7.85288E-1	2.98597E+2	9.99985E-5	-8.96975E-5	-8.96988E-1
8.66896E-1	8.04367E-1	2.98542E+2	9.99986E-5	-8.97146E-5	-8.97159E-1
8.86593E-1	8.23641E-1	2.98487E+2	9.99986E-5	-8.97193E-5	-8.97206E-1
9.05630E-1	8.42836E-1	2.98432E+2	9.99985E-5	-8.96734E-5	-8.96748E-1
9.25550E-1	8.62133E-1	2.98378E+2	9.99985E-5	-8.96310E-5	-8.96323E-1
9.45626E-1	8.81527E-1	2.98320E+2	9.99985E-5	-8.96451E-5	-8.96464E-1
9.64666E-1	9.00942E-1	2.98255E+2	9.99986E-5	-8.96746E-5	-8.96758E-1
9.83838E-1	9.20403E-1	2.98179E+2	9.99985E-5	-8.97519E-5	-8.97532E-1
1.00422E+0	9.40118E-1	2.98090E+2	9.99985E-5	-8.96903E-5	-8.96916E-1
1.02342E+0	9.59829E-1	2.97994E+2	9.99986E-5	-8.95520E-5	-8.95533E-1
1.04305E+0	9.79506E-1	2.97897E+2	9.99986E-5	-8.95458E-5	-8.95471E-1
1.06294E+0	9.99426E-1	2.97800E+2	9.99986E-5	-8.95751E-5	-8.95764E-1
1.08208E+0	1.01900E+0	2.97705E+2	9.99985E-5	-8.95444E-5	-8.95458E-1
1.10175E+0	1.03810E+0	2.97620E+2	9.99986E-5	-8.95414E-5	-8.95427E-1
1.12174E+0	1.05708E+0	2.97544E+2	9.99985E-5	-8.95429E-5	-8.95443E-1
1.14087E+0	1.07605E+0	2.97470E+2	9.99983E-5	-8.95278E-5	-8.95293E-1
1.16042E+0	1.09508E+0	2.97399E+2	9.99985E-5	-8.95516E-5	-8.95530E-1
1.17911E+0	1.11410E+0	2.97326E+2	9.99985E-5	-8.95853E-5	-8.95867E-1
1.19880E+0	1.13296E+0	2.97254E+2	9.99984E-5	-8.96183E-5	-8.96197E-1
1.21896E+0	1.15200E+0	2.97180E+2	9.99985E-5	-8.96428E-5	-8.96442E-1
1.23796E+0	1.17101E+0	2.97103E+2	9.99986E-5	-8.96228E-5	-8.96241E-1
1.25823E+0	1.19004E+0	2.97027E+2	9.99985E-5	-8.96395E-5	-8.96408E-1
1.27820E+0	1.20906E+0	2.96953E+2	9.99985E-5	-8.96391E-5	-8.96405E-1
1.29734E+0	1.22795E+0	2.96883E+2	9.99985E-5	-8.96179E-5	-8.96193E-1
1.31669E+0	1.24690E+0	2.96821E+2	9.99985E-5	-8.96065E-5	-8.96079E-1
1.33672E+0	1.26606E+0	2.96764E+2	9.99985E-5	-8.95614E-5	-8.95627E-1
1.35594E+0	1.28514E+0	2.96713E+2	9.99985E-5	-8.95917E-5	-8.95930E-1
1.37497E+0	1.30415E+0	2.96669E+2	9.99985E-5	-8.96305E-5	-8.96319E-1
1.39494E+0	1.32351E+0	2.96631E+2	9.99985E-5	-8.95884E-5	-8.95898E-1
1.41422E+0	1.34260E+0	2.96599E+2	9.99985E-5	-8.95736E-5	-8.95750E-1
1.43380E+0	1.36159E+0	2.96571E+2	9.99985E-5	-8.95539E-5	-8.95552E-1
1.45278E+0	1.38069E+0	2.96548E+2	9.99986E-5	-8.95448E-5	-8.95461E-1
1.47192E+0	1.39970E+0	2.96530E+2	9.99985E-5	-8.95359E-5	-8.95373E-1
1.49188E+0	1.41877E+0	2.96516E+2	9.99985E-5	-8.95406E-5	-8.95420E-1
1.51137E+0	1.43797E+0	2.96508E+2	9.99985E-5	-8.95849E-5	-8.95863E-1
1.53087E+0	1.45707E+0	2.96503E+2	9.99985E-5	-8.96297E-5	-8.96311E-1
1.55095E+0	1.47607E+0	2.96499E+2	9.99985E-5	-8.96076E-5	-8.96090E-1
1.57013E+0	1.49539E+0	2.96503E+2	9.99985E-5	-8.96063E-5	-8.96076E-1
1.58927E+0	1.51466E+0	2.96513E+2	9.99984E-5	-8.96665E-5	-8.96679E-1
1.60955E+0	1.53366E+0	2.96526E+2	9.99985E-5	-8.96973E-5	-8.96987E-1
1.62868E+0	1.55272E+0	2.96543E+2	9.99986E-5	-8.97011E-5	-8.97024E-1
1.64809E+0	1.57176E+0	2.96562E+2	9.99986E-5	-8.97048E-5	-8.97061E-1
1.66751E+0	1.59073E+0	2.96583E+2	9.99985E-5	-8.97572E-5	-8.97585E-1
1.68719E+0	1.60976E+0	2.96609E+2	9.99986E-5	-8.97983E-5	-8.97996E-1
1.70707E+0	1.62896E+0	2.96639E+2	9.99985E-5	-8.98083E-5	-8.98096E-1
1.72543E+0	1.64826E+0	2.96673E+2	9.99985E-5	-8.98324E-5	-8.98337E-1
1.74545E+0	1.66736E+0	2.96707E+2	9.99985E-5	-8.98645E-5	-8.98658E-1
1.76601E+0	1.68651E+0	2.96743E+2	9.99985E-5	-8.97959E-5	-8.97973E-1
1.78480E+0	1.70577E+0	2.96784E+2	9.99985E-5	-8.97524E-5	-8.97538E-1
1.80443E+0	1.72497E+0	2.96828E+2	9.99985E-5	-8.97918E-5	-8.97931E-1
1.82519E+0	1.74419E+0	2.96872E+2	9.99985E-5	-8.98654E-5	-8.98668E-1
1.84393E+0	1.76318E+0	2.96918E+2	9.99984E-5	-8.99512E-5	-8.99526E-1
1.86289E+0	1.78218E+0	2.96968E+2	9.99985E-5	-9.00197E-5	-9.00210E-1
1.88173E+0	1.80147E+0	2.97018E+2	9.99985E-5	-9.00281E-5	-9.00295E-1
1.90192E+0	1.82075E+0	2.97071E+2	9.99985E-5	-8.99861E-5	-8.99875E-1
1.92221E+0	1.84005E+0	2.97126E+2	9.99986E-5	-8.99441E-5	-8.99454E-1
1.94125E+0	1.85931E+0	2.97182E+2	9.99986E-5	-8.99224E-5	-8.99237E-1
1.96065E+0	1.87837E+0	2.97239E+2	9.99985E-5	-8.99700E-5	-8.99714E-1
1.98069E+0	1.89766E+0	2.97297E+2	9.99985E-5	-9.01221E-5	-9.01234E-1
1.99913E+0	1.91700E+0	2.97357E+2	9.99986E-5	-9.01290E-5	-9.01303E-1
2.01911E+0	1.93631E+0	2.97416E+2	9.99985E-5	-9.01262E-5	-9.01276E-1
2.03903E+0	1.95556E+0	2.97477E+2	9.99984E-5	-9.01676E-5	-9.01690E-1
2.05851E+0	1.97473E+0	2.97540E+2	9.99985E-5	-9.01948E-5	-9.01962E-1
2.07839E+0	1.99396E+0	2.97602E+2	9.99985E-5	-9.02564E-5	-9.02578E-1
2.09673E+0	2.01322E+0	2.97662E+2	9.99984E-5	-9.02067E-5	-9.02082E-1
2.11644E+0	2.03244E+0	2.97725E+2	9.99984E-5	-9.01608E-5	-9.01622E-1
2.13639E+0	2.05169E+0	2.97789E+2	9.99985E-5	-9.01610E-5	-9.01624E-1
2.15536E+0	2.07100E+0	2.97853E+2	9.99985E-5	-9.01991E-5	-9.02004E-1
2.17488E+0	2.09037E+0	2.97916E+2	9.99985E-5	-9.02899E-5	-9.02913E-1
2.19537E+0	2.10989E+0	2.97979E+2	9.99984E-5	-9.02838E-5	-9.02853E-1
2.21395E+0	2.12925E+0	2.98043E+2	9.99985E-5	-9.02712E-5	-9.02725E-1
2.23325E+0	2.14838E+0	2.98106E+2	9.99985E-5	-9.02627E-5	-9.02640E-1
2.25387E+0	2.16755E+0	2.98168E+2	9.99985E-5	-9.02794E-5	-9.02808E-1
2.27315E+0	2.18693E+0	2.98230E+2	9.99985E-5	-9.02970E-5	-9.02984E-1
2.29279E+0	2.20632E+0	2.98292E+2	9.99985E-5	-9.03553E-5	-9.03566E-1
2.31297E+0	2.22578E+0	2.98353E+2	9.99984E-5	-9.03811E-5	-9.03825E-1
2.33192E+0	2.24518E+0	2.98414E+2	9.99984E-5	-9.03390E-5	-9.03404E-1
2.35112E+0	2.26441E+0	2.98476E+2	9.99985E-5	-9.03724E-5	-9.03737E-1
2.37004E+0	2.28366E+0	2.98536E+2	9.99985E-5	-9.03621E-5	-9.03635E-1
2.38922E+0	2.30310E+0	2.98596E+2	9.99984E-5	-9.04606E-5	-9.04620E-1
2.40978E+0	2.32257E+0	2.98655E+2	9.99986E-5	-9.04889E-5	-9.04902E-1
2.42911E+0	2.34192E+0	2.98714E+2	9.99985E-5	-9.03952E-5	-9.03965E-1
2.44853E+0	2.36147E+0	2.98772E+2	9.99985E-5	-9.04546E-5	-9.04560E-1
2.46897E+0	2.38078E+0	2.98829E+2	9.99985E-5	-9.04867E-5	-9.04881E-1
2.48786E+0	2.40001E+0	2.98886E+2	9.99985E-5	-9.04417E-5	-9.04431E-1
2.50709E+0	2.41953E+0	2.98941E+2	9.99985E-5	-9.04721E-5	-9.04734E-1
2.52699E+0	2.43911E+0	2.98995E+2	9.99984E-5	-9.04404E-5	-9.04418E-1
2.54629E+0	2.45847E+0	2.99051E+2	9.99985E-5	-9.03922E-5	-9.03936E-1
2.56591E+0	2.47771E+0	2.99105E+2	9.99985E-5	-9.04581E-5	-9.04594E-1
2.58479E+0	2.49712E+0	2.99156E+2	9.99985E-5	-9.04498E-5	-9.04511E-1
2.60395E+0	2.51646E+0	2.99207E+2	9.99985E-5	-9.04761E-5	-9.04774E-1
2.62453E+0	2.53583E+0	2.99258E+2	9.99985E-5	-9.05327E-5	-9.05340E-1
2.64379E+0	2.55550E+0	2.99306E+2	9.99984E-5	-9.05329E-5	-9.05343E-1
2.66298E+0	2.57513E+0	2.99354E+2	9.99984E-5	-9.05871E-5	-9.05886E-1
2.68332E+0	2.59449E+0	2.99401E+2	9.99985E-5	-9.06269E-5	-9.06283E-1
2.70266E+0	2.61394E+0	2.99449E+2	9.99985E-5	-9.05823E-5	-9.05836E-1
2.72179E+0	2.63326E+0	2.99494E+2	9.99985E-5	-9.05069E-5	-9.05083E-1
2.74186E+0	2.65267E+0	2.99538E+2	9.99984E-5	-9.05853E-5	-9.05867E-1
2.76121E+0	2.67212E+0	2.99581E+2	9.99985E-5	-9.06213E-5	-9.06226E-1
2.78063E+0	2.69145E+0	2.99624E+2	9.99986E-5	-9.05074E-5	-9.05087E-1
2.80060E+0	2.71086E+0	2.99664E+2	9.99985E-5	-9.05886E-5	-9.05900E-1
2.81945E+0	2.73047E+0	2.99703E+2	9.99985E-5	-9.05473E-5	-9.05487E-1
2.83897E+0	2.75014E+0	2.99743E+2	9.99985E-5	-9.04973E-5	-9.04986E-1
2.85805E+0	2.76956E+0	2.99782E+2	9.99986E-5	-9.05532E-5	-9.05544E-1
2.87756E+0	2.78888E+0	2.99818E+2	9.99985E-5	-9.05684E-5	-9.05698E-1
2.89808E+0	2.80825E+0	2.99854E+2	9.99985E-5	-9.05945E-5	-9.05959E-1
2.91704E+0	2.82767E+0	2.99889E+2	9.99985E-5	-9.05651E-5	-9.05665E-1
2.93630E+0	2.84718E+0	2.99922E+2	9.99985E-5	-9.05760E-5	-9.05774E-1
2.95630E+0	2.86665E+0	2.99953E+2	9.99985E-5	-9.05704E-5	-9.05717E-1
2.97575E+0	2.88623E+0	2.99985E+2	9.99985E-5	-9.06388E-5	-9.06401E-1
2.99482E+0	2.90572E+0	3.00017E+2	9.99986E-5	-9.07476E-5	-9.07489E-1
3.01350E+0	2.92510E+0	3.00045E+2	9.99987E-5	-9.07006E-5	-9.07018E-1
3.03335E+0	2.94467E+0	3.00073E+2	9.99985E-5	-9.06745E-5	-9.06759E-1
3.05414E+0	2.96417E+0	3.00101E+2	9.99984E-5	-9.06983E-5	-9.06997E-1
3.07253E+0	2.98372E+0	3.00126E+2	9.99985E-5	-9.07069E-5	-9.07083E-1
