T_sample_(K)	I_s	V_nv	R_nv
2.98711E+2	9.99985E-5	4.38663E-2	4.38670E+2
2.98708E+2	9.99985E-5	4.38665E-2	4.38671E+2
2.98703E+2	9.99986E-5	4.38667E-2	4.38673E+2
2.98702E+2	9.99986E-5	4.38668E-2	4.38674E+2
2.98700E+2	9.99985E-5	4.38668E-2	4.38675E+2
2.98697E+2	9.99985E-5	4.38665E-2	4.38672E+2
2.98695E+2	9.99986E-5	4.38657E-2	4.38663E+2
2.98692E+2	9.99986E-5	4.38649E-2	4.38655E+2
2.98688E+2	9.99985E-5	4.38639E-2	4.38645E+2
2.98683E+2	9.99986E-5	4.38623E-2	4.38629E+2
2.98676E+2	9.99986E-5	4.38603E-2	4.38610E+2
2.98670E+2	9.99985E-5	4.38582E-2	4.38589E+2
2.98663E+2	9.99985E-5	4.38560E-2	4.38566E+2
2.98653E+2	9.99985E-5	4.38534E-2	4.38540E+2
2.98641E+2	9.99985E-5	4.38503E-2	4.38510E+2
2.98629E+2	9.99984E-5	4.38469E-2	4.38476E+2
2.98617E+2	9.99985E-5	4.38432E-2	4.38439E+2
2.98602E+2	9.99985E-5	4.38390E-2	4.38397E+2
2.98586E+2	9.99985E-5	4.38346E-2	4.38353E+2
2.98566E+2	9.99985E-5	4.38300E-2	4.38307E+2
2.98545E+2	9.99985E-5	4.38250E-2	4.38257E+2
2.98522E+2	9.99986E-5	4.38198E-2	4.38204E+2
2.98497E+2	9.99986E-5	4.38141E-2	4.38147E+2
2.98469E+2	9.99985E-5	4.38081E-2	4.38088E+2
2.98439E+2	9.99985E-5	4.38021E-2	4.38027E+2
2.98407E+2	9.99986E-5	4.37954E-2	4.37960E+2
2.98373E+2	9.99986E-5	4.37883E-2	4.37889E+2
2.98336E+2	9.99985E-5	4.37814E-2	4.37820E+2
2.98299E+2	9.99985E-5	4.37740E-2	4.37747E+2
2.98258E+2	9.99986E-5	4.37663E-2	4.37669E+2
2.98215E+2	9.99986E-5	4.37584E-2	4.37590E+2
2.98171E+2	9.99986E-5	4.37502E-2	4.37508E+2
2.98123E+2	9.99985E-5	4.37414E-2	4.37421E+2
2.98073E+2	9.99986E-5	4.37326E-2	4.37332E+2
2.98021E+2	9.99986E-5	4.37239E-2	4.37245E+2
2.97965E+2	9.99986E-5	4.37148E-2	4.37154E+2
2.97909E+2	9.99986E-5	4.37054E-2	4.37061E+2
2.97850E+2	9.99985E-5	4.36957E-2	4.36963E+2
2.97788E+2	9.99984E-5	4.36857E-2	4.36864E+2
2.97723E+2	9.99984E-5	4.36758E-2	4.36765E+2
2.97659E+2	9.99985E-5	4.36655E-2	4.36662E+2
2.97593E+2	9.99985E-5	4.36550E-2	4.36557E+2
2.97521E+2	9.99984E-5	4.36445E-2	4.36452E+2
2.97448E+2	9.99985E-5	4.36336E-2	4.36343E+2
2.97374E+2	9.99985E-5	4.36226E-2	4.36232E+2
2.97298E+2	9.99985E-5	4.36113E-2	4.36120E+2
2.97220E+2	9.99985E-5	4.35997E-2	4.36004E+2
2.97138E+2	9.99985E-5	4.35881E-2	4.35888E+2
2.97054E+2	9.99986E-5	4.35763E-2	4.35769E+2
2.96971E+2	9.99986E-5	4.35642E-2	4.35649E+2
2.96885E+2	9.99985E-5	4.35520E-2	4.35526E+2
2.96795E+2	9.99985E-5	4.35396E-2	4.35403E+2
2.96705E+2	9.99984E-5	4.35271E-2	4.35278E+2
2.96615E+2	9.99984E-5	4.35144E-2	4.35151E+2
2.96523E+2	9.99985E-5	4.35017E-2	4.35023E+2
2.96427E+2	9.99985E-5	4.34888E-2	4.34895E+2
2.96327E+2	9.99985E-5	4.34758E-2	4.34764E+2
2.96227E+2	9.99985E-5	4.34625E-2	4.34631E+2
2.96126E+2	9.99986E-5	4.34489E-2	4.34495E+2
2.96026E+2	9.99985E-5	4.34352E-2	4.34359E+2
2.95921E+2	9.99985E-5	4.34216E-2	4.34223E+2
2.95814E+2	9.99986E-5	4.34079E-2	4.34085E+2
2.95705E+2	9.99986E-5	4.33942E-2	4.33948E+2
2.95596E+2	9.99985E-5	4.33803E-2	4.33809E+2
2.95485E+2	9.99986E-5	4.33662E-2	4.33668E+2
2.95371E+2	9.99986E-5	4.33517E-2	4.33523E+2
2.95254E+2	9.99985E-5	4.33372E-2	4.33379E+2
2.95138E+2	9.99986E-5	4.33230E-2	4.33236E+2
2.95021E+2	9.99985E-5	4.33083E-2	4.33089E+2
2.94901E+2	9.99985E-5	4.32934E-2	4.32940E+2
2.94779E+2	9.99986E-5	4.32786E-2	4.32792E+2
2.94654E+2	9.99986E-5	4.32637E-2	4.32643E+2
2.94529E+2	9.99985E-5	4.32487E-2	4.32493E+2
2.94403E+2	9.99985E-5	4.32336E-2	4.32342E+2
2.94277E+2	9.99986E-5	4.32187E-2	4.32193E+2
2.94147E+2	9.99986E-5	4.32036E-2	4.32042E+2
2.94017E+2	9.99986E-5	4.31886E-2	4.31892E+2
2.93886E+2	9.99986E-5	4.31737E-2	4.31743E+2
2.93753E+2	9.99985E-5	4.31587E-2	4.31593E+2
2.93620E+2	9.99985E-5	4.31432E-2	4.31438E+2
2.93485E+2	9.99985E-5	4.31275E-2	4.31281E+2
2.93348E+2	9.99985E-5	4.31122E-2	4.31128E+2
2.93211E+2	9.99986E-5	4.30969E-2	4.30975E+2
2.93072E+2	9.99985E-5	4.30809E-2	4.30816E+2
2.92933E+2	9.99986E-5	4.30650E-2	4.30655E+2
2.92791E+2	9.99986E-5	4.30490E-2	4.30496E+2
2.92648E+2	9.99986E-5	4.30330E-2	4.30336E+2
2.92502E+2	9.99985E-5	4.30172E-2	4.30179E+2
2.92356E+2	9.99985E-5	4.30014E-2	4.30020E+2
2.92212E+2	9.99986E-5	4.29853E-2	4.29859E+2
2.92066E+2	9.99986E-5	4.29692E-2	4.29698E+2
2.91917E+2	9.99985E-5	4.29530E-2	4.29536E+2
2.91766E+2	9.99985E-5	4.29366E-2	4.29372E+2
2.91613E+2	9.99985E-5	4.29201E-2	4.29207E+2
2.91463E+2	9.99985E-5	4.29040E-2	4.29047E+2
2.91315E+2	9.99985E-5	4.28876E-2	4.28882E+2
2.91163E+2	9.99986E-5	4.28711E-2	4.28717E+2
2.91009E+2	9.99986E-5	4.28548E-2	4.28554E+2
2.90858E+2	9.99986E-5	4.28380E-2	4.28386E+2
2.90704E+2	9.99985E-5	4.28208E-2	4.28214E+2
2.90548E+2	9.99986E-5	4.28038E-2	4.28045E+2
2.90392E+2	9.99987E-5	4.27872E-2	4.27877E+2
2.90233E+2	9.99987E-5	4.27704E-2	4.27709E+2
2.90074E+2	9.99986E-5	4.27534E-2	4.27540E+2
2.89916E+2	9.99986E-5	4.27359E-2	4.27365E+2
2.89757E+2	9.99985E-5	4.27184E-2	4.27190E+2
2.89592E+2	9.99985E-5	4.27010E-2	4.27017E+2
2.89428E+2	9.99986E-5	4.26839E-2	4.26845E+2
2.89265E+2	9.99986E-5	4.26668E-2	4.26674E+2
